首长	shou3'zhang3
集装箱	ji2'zhuang1'xiang1
年间	nian2'jian1
知青	zhi1'qing1
齐全	qi2'quan2
担忧	dan1'you1
有无	you3'wu2
物业	wu4'ye4
自律	zi4'lv4
风景区	feng1'jing3'qu1
定点	ding4'dian3
分流	fen1'liu2
党报	dang3'bao4
柏林	bo2'lin2
共计	gong4'ji4
救济	jiu4'ji4
示威	shi4'wei1
拖拉机	tuo1'la1'ji1
挫折	cuo4'zhe2
苦难	ku3'nan4
电流	dian4'liu2
方才	fang1'cai2
为难	wei2'nan2
剥削	bo1'xue1
互补	hu4'bu3
垂直	chui2'zhi2
漏洞	lou4'dong4
探测	tan4'ce4
外语	wai4'yu3
子弹	zi3'dan4
无关	wu2'guan1
纽带	niu3'dai4
有待	you3'dai4
天才	tian1'cai2
征管	zheng1'guan3
吸纳	xi1'na4
站住	zhan4'zhu4
诞辰	dan4'chen2
省份	sheng3'fen4
突破口	tu1'po4'kou3
负面	fu4'mian4
讲解	jiang3'jie3
引人注目	yin3'ren2'zhu4'mu4
皮鞋	pi2'xie2
征服	zheng1'fu2
反倾销	fan3'qing1'xiao1
政治家	zheng4'zhi4'jia1
手枪	shou3'qiang1
宁静	ning2'jing4
死者	si3'zhe3
测定	ce4'ding4
竞技	jing4'ji4
电器	dian4'qi4
迈进	mai4'jin4
各处	ge4'chu3
简化	jian3'hua4
被子	bei4'zi
牲畜	sheng1'chu4
耽误	dan1'wu4
宴会	yan4'hui4
自在	zi4'zai4
顺应	shun4'ying4
展望	zhan3'wang4
航线	hang2'xian4
水分	shui3'fen4
传授	chuan2'shou4
钢琴	gang1'qin2
公寓	gong1'yu4
旋转	xuan2'zhuan3
兵力	bing1'li4
骨头	gu3'tou
昼夜	zhou4'ye4
保守	bao3'shou3
核电站	he2'dian4'zhan4
祖父	zu3'fu4
消费品	xiao1'fei4'pin3
花费	hua1'fei4
忽略	hu1'lve4
遇见	yu4'jian4
名将	ming2'jiang1
子孙	zi3'sun1
女工	nv3'gong1
夺冠	duo2'guan4
贺电	he4'dian4
自然保护区	zi4'ran2'bao3'hu4'qu1
通车	tong1'che1
奶牛	nai3'niu2
亿万	yi4'wan4
品德	pin3'de2
翅膀	chi4'bang3
道歉	dao4'qian4
摄氏度	she4'shi4'du4
租赁	zu1'lin4
河道	he2'dao4
纤维	xian1'wei2
实物	shi2'wu4
罪行	zui4'xing2
文书	wen2'shu1
辩论	bian4'lun4
柱子	zhu4'zi3
持有	chi2'you3
下一步	xia4'yi1'bu4
苍白	cang1'bai2
物种	wu4'zhong3
欣慰	xin1'wei4
春风	chun1'feng1
感叹	gan3'tan4
凭着	ping2'zhe
逃避	tao2'bi4
掌柜	zhang3'gui4
跨国	kua4'guo2
符号	fu2'hao4
移交	yi2'jiao1
华丽	hua2'li4
片面	pian4'mian4
安宁	an1'ning2
抛弃	pao1'qi4
少有	shao3'you3
司令部	si1'ling4'bu4
死人	si3'ren2
盈利;赢利	ying2'li4
癌症	ai2'zheng4
餐厅	can1'ting1
警示	jing3'shi4
对口	dui4'kou3
落户	luo4'hu4
回升	hui2'sheng1
年年	nian2'nian2
分割	fen1'ge1
当晚	dang4'wan3
研究室	yan2'jiu1'shi4
在校	zai4'xiao4
太阳能	tai4'yang2'neng2
青年人	qing1'nian2'ren2
西瓜	xi1'gua1
不忍	bu4'ren3
透明度	tou4'ming2'du4
播放	bo1'fang4
强行	qiang2'xing2
参谋长	can1'mou2'chang2
大战	da4'zhan4
改编	gai3'bian1
趣味	qu4'wei4
照样	zhao4'yang4
富民	fu4'min2
争端	zheng1'duan1
方略	fang1'lve4
社论	she4'lun4
西洋	xi1'yang2
阴谋	yin1'mou2
敞开	chang3'kai1
国务卿	guo2'wu4'qing1
内需	nei4'xu1
网点	wang3'dian3
观光	guan1'guang1
寿命	shou4'ming4
老大	lao3'da4
照例	zhao4'li4
历经	li4'jing1
电灯	dian4'deng1
半决赛	ban4'jue2'sai4
快活	kuai4'huo
拨款	bo1'kuan3
热带	re4'dai4
极力	ji2'li4
怀念	huai2'nian4
转阴	zhuan3'yin1
客商	ke4'shang1
巨额	ju4'e2
多方	duo1'fang1
就算	jiu4'suan4
饮料	yin3'liao4
挪用	nuo2'yong4
直升机	zhi2'sheng1'ji1
舌头	she2'tou2
寒冷	han2'leng3
车厢	che1'xiang1
短暂	duan3'zan4
一共	yi1'gong4
护工	hu4'gong1
门票	men2'piao4
盛会	sheng4'hui4
轰炸	hong1'zha4
遗留	yi2'liu2
总的	zong3'de
三通	san1'tong1
楼梯	lou2'ti1
水准	shui3'zhun3
此地	ci3'di4
睡眠	shui4'mian2
婚礼	hun1'li3
将要	jiang1'yao4
骑兵	qi2'bing1
农业税	nong2'ye4'shui4
征地	zheng1'di4
繁重	fan2'zhong4
体操	ti3'cao1
麦子	mai4'zi3
世上	shi4'shang4
风暴	feng1'bao4
真相	zhen1'xiang4
