波澜壮阔	bo1'lan2'zhuang4'kuo4
游牧	you2'mu4
朝气蓬勃	zhao1'qi4'peng2'bo2
住址	zhu4'zhi3
注销	zhu4'xiao1
转战	zhuan3'zhan4
追忆	zhui1'yi4
啊呀	a1'ya1
不屈不挠	bu4'qu1'bu4'nao2
苍凉	cang1'liang2
缠绵	chan2'mian2
厂矿	chang3'kuang4
出众	chu1'zhong4
出主意	chu1'zhu3'yi4
大气	da4'qi
机灵	ji1'ling2
京郊	jing1'jiao1
扣子	kou4'zi3
立交桥	li4'jiao1'qiao2
脸皮	lian3'pi2
琳琅满目	lin2'lang2'man3'mu4
裸体	luo3'ti3
满眼	man3'yan3
清贫	qing1'pin2
射门	she4'men2
视而不见	shi4'er2'bu4'jian4
添置	tian1'zhi4
土著	tu3'zhu4
喜气洋洋	xi3'qi4'yang2'yang2
有声	you3'sheng1
战区	zhan4'qu1
氨基酸	an1'ji1'suan1
悲凉	bei1'liang2
化身	hua4'shen1
火气	huo3'qi4
锦绣	jin3'xiu4
军心	jun1'xin1
宽裕	kuan1'yu4
礼节	li3'jie2
庙宇	miao4'yu3
亲吻	qin1'wen3
鲨鱼	sha1'yu2
爽朗	shuang3'lang3
文化宫	wen2'hua4'gong1
窝囊	wo1'nang
须知	xu1'zhi1
幽灵	you1'ling2
字形	zi4'xing2
班车	ban1'che1
比不上	bi3'bu4'shang4
常态	chang2'tai4
初年	chu1'nian2
错案	cuo4'an4
短篇	duan3'pian1
风头	feng1'tou2
馆子	guan3'zi3
后裔	hou4'yi4
集约	ji2'yue1
教研室	jiao4'yan2'shi4
净增	jing4'zeng1
拉力	la1'li4
亮光	liang4'guang1
绳索	sheng2'suo3
凶狠	xiong1'hen3
照应	zhao4'ying4
包庇	bao1'bi4
嘲讽	chao2'feng3
迟钝	chi2'dun4
府上	fu3'shang4
官府	guan1'fu3
核对	he2'dui4
集中营	ji2'zhong1'ying2
近视	jin4'shi4
淋漓尽致	lin2'li2'jin4'zhi4
逆转	ni4'zhuan3
贫瘠	pin2'ji2
痊愈	quan2'yu4
人际	ren2'ji4
水生	shui3'sheng1
挖苦	wa1'ku3
鸦片战争	ya1'pian4'zhan4'zheng1
养生	yang3'sheng1
有目共睹	you3'mu4'gong4'du3
阵亡	zhen4'wang2
追悼会	zhui1'dao4'hui4
白条	bai2'tiao2
保暖	bao3'nuan3
产妇	chan3'fu4
橱窗	chu2'chuang1
次序	ci4'xu4
从重	cong2'zhong4
存活	cun2'huo2
翡翠	fei3'cui4
过期	guo4'qi1
克扣	ke4'kou4
明儿	ming2'er
配制	pei4'zhi4
起家	qi3'jia1
桥头	qiao2'tou2
时效	shi2'xiao4
刷新	shua1'xin1
五彩缤纷	wu3'cai3'bin1'fen1
显示器	xian3'shi4'qi4
新编	xin1'bian1
战功	zhan4'gong1
中性	zhong1'xing4
自由主义	zi4'you2'zhu3'yi4
作曲	zuo4'qu3
包干儿	bao1'gan1'er
裁缝	cai2'feng
电量	dian4'liang4
定型	ding4'xing2
反应堆	fan3'ying4'dui1
古镇	gu3'zhen4
挤压	ji3'ya1
录音机	lu4'yin1'ji1
农工	nong2'gong1
审判长	shen3'pan4'chang2
盛事	sheng4'shi4
收养	shou1'yang3
应征	ying4'zheng1
游记	you2'ji4
原著	yuan2'zhu4
装卸	zhuang1'xie4
自省	zi4'sheng3
仇人	chou2'ren2
地价	di4'jia4
计策	ji4'ce4
价位	jia4'wei4
间或	jian4'huo4
帘子	lian2'zi3
民乐	min2'yue4
年长	nian2'chang2
尿素	niao4'su4
怒火	nu4'huo3
企业化	qi3'ye4'hua4
群落	qun2'luo4
视听	shi4'ting1
受罪	shou4'zui4
铁匠	tie3'jiang4
作成	zuo4'cheng2
摆布	bai3'bu4
饼干	bing3'gan1
大赦	da4'she4
老字号	lao3'zi4'hao
立国	li4'guo2
利润率	li4'run4'lv4
捏造	nie1'zao4
浓烟	nong2'yan1
弱化	ruo4'hua4
手足	shou3'zu2
书市	shu1'shi4
坍塌	tan1'ta1
天皇	tian1'huang2
无为	wu2'wei2
仙女	xian1'nv3
专页	zhuan1'ye4
字画	zi4'hua4
摆弄	bai3'nong4
比比皆是	bi3'bi3'jie1'shi4
步履	bu4'lv3
大革命	da4'ge2'ming4
敌机	di2'ji1
顶尖	ding3'jian1
放养	fang4'yang3
公演	gong1'yan3
海港	hai3'gang3
荒芜	huang1'wu2
黄花	huang2'hua1
进言	jin4'yan2
空闲	kong4'xian2
民风	min2'feng1
欠账	qian4'zhang4
儒学	ru2'xue2
锐意	rui4'yi4
四合院	si4'he2'yuan4
委婉	wei3'wan3
预告	yu4'gao4
杂物	za2'wu4
催化	cui1'hua4
挫伤	cuo4'shang1
殆尽	dai4'jin4
扼杀	e4'sha1
构图	gou4'tu2
顾忌	gu4'ji4
患难	huan4'nan4
密密麻麻	mi4'mi'ma2'ma2
铺天盖地	pu1'tian1'gai4'di4
人世间	ren2'shi4'jian1
死角	si3'jiao3
所到之处	suo3'dao4'zhi1'chu3
挺直	ting3'zhi2
透镜	tou4'jing4
悉数	xi1'shu4
悉心	xi1'xin1
溪水	xi1'shui3
写意	xie4'yi4
有别	you3'bie2
有礼	you3'li3
杂质	za2'zhi4
战败	zhan4'bai4
种族主义	zhong3'zu2'zhu3'yi4
主儿	zhu3'er
坠落	zhui4'luo4
座无虚席	zuo4'wu2'xu1'xi2
保温	bao3'wen1
搏击	bo2'ji1
沉积物	chen2'ji1'wu4
兑付	dui4'fu4
赶路	gan3'lu4
告终	gao4'zhong1
鼾声	han1'sheng1
红领巾	hong2'ling3'jin1
开刀	kai1'dao1
漫天	man4'tian1
门框	men2'kuang4
魔术	mo2'shu4
瘦弱	shou4'ruo4
行不通	xing2'bu4'tong1
遥望	yao2'wang4
雨天	yu3'tian1
标致	biao1'zhi4
篡改	cuan4'gai3
二胡	er4'hu2
复审	fu4'shen3
讥讽	ji1'feng3
加速度	jia1'su4'du4
降幅	jiang4'fu2
迸发	beng4'fa1
拉手	la1'shou3
涉及面	she4'ji2'mian4
世家	shi4'jia1
首发式	shou3'fa4'shi4
数控	shu4'kong4
医科	yi1'ke1
征途	zheng1'tu2
植入	zhi2'ru4
纸币	zhi3'bi4
周全	zhou1'quan2
烛光	zhu2'guang1
自然规律	zi4'ran2'gui1'lv4
总则	zong3'ze2
