耀斑	yao4'ban1
明眼人	ming2'yan3'ren2
拍子	pai1'zi3
皮肤病	pi2'fu1'bing4
飘飘然	piao1'piao1'ran2
屏蔽	ping2'bi4
婆婆妈妈	po2'po2'ma1'ma1
七零八落	qi1'ling2'ba1'luo4
气冲冲	qi4'chong1'chong1
抢滩	qiang3'tan1
情由	qing2'you2
全家福	quan2'jia1'fu2
人之常情	ren2'zhi1'chang2'qing2
日全食	ri4'quan2'shi2
上品	shang4'pin3
少年宫	shao4'nian2'gong1
神通	shen2'tong1
胜似	sheng4'si4
失当	shi1'dang4
食糖	shi2'tang2
收拢	shou1'long3
投工	tou2'gong1
颓势	tui2'shi4
完满	wan2'man3
文告	wen2'gao4
无言以对	wu2'yan2'yi3'dui4
无一例外	wu2'yi1'li4'wai4
五湖四海	wu3'hu2'si4'hai3
误信	wu4'xin4
喜笑颜开	xi3'xiao4'yan2'kai1
小卖部	xiao3'mai4'bu4
些微	xie1'wei1
胸闷	xiong1'men4
玄虚	xuan2'xu1
巡诊	xun2'zhen3
遗骸	yi2'hai2
营建	ying2'jian4
原价	yuan2'jia4
征召	zheng1'zhao4
整数	zheng3'shu4
枝繁叶茂	zhi1'fan2'ye4'mao4
暗笑	an4'xiao4
白桦	bai2'hua4
报信	bao4'xin4
边防军	bian1'fang2'jun1
变乱	bian4'luan4
病假	bing4'jia4
财大气粗	cai2'da4'qi4'cu1
吃请	chi1'qing3
持重	chi2'zhong4
出丑	chu1'chou3
垂死	chui2'si3
打垮	da3'kua3
玳瑁	dai4'mao4
婀娜	e1'nuo2
饭庄	fan4'zhuang1
防疫站	fang2'yi4'zhan4
肺腑之言	fei4'fu3'zhi1'yan2
分属	fen1'shu3
凤毛麟角	feng4'mao2'lin2'jiao3
佛家	fo2'jia1
俯冲	fu3'chong1
父母官	fu4'mu3'guan1
复述	fu4'shu4
盖帽儿	gai4'mao4'er
高难	gao1'nan2
革履	ge2'lv3
革职	ge2'zhi2
果子狸	guo3'zi3'li2
婚期	hun1'qi1
活法	huo2'fa3
纪元	ji4'yuan2
家小	jia1'xiao3
驾照	jia4'zhao4
缴税	jiao3'shui4
接风	jie1'feng1
纠察队	jiu1'cha2'dui4
军法	jun1'fa3
炼焦	lian4'jiao1
绿肥	lv4'fei2
闷闷不乐	men4'men4'bu4'le4
暮春	mu4'chun1
杀伤力	sha1'shang1'li4
伤病员	shang1'bing4'yuan2
上水	shang4'shui3
烧纸	shao1'zhi3
谁人	shei2'ren2
食物链	shi2'wu4'lian4
索引	suo3'yin3
太甚	tai4'shen4
叹服	tan4'fu2
碳酸	tan4'suan1
铁人三项	tie3'ren2'san1'xiang4
同姓	tong2'xing4
统管	tong3'guan3
微利	wei1'li4
蜈蚣	wu2'gong1
行书	xing2'shu1
熊掌	xiong2'zhang3
血水	xue4'shui3
鸭蛋	ya1'dan4
严刑	yan2'xing2
一骨碌	yi1'gu1'lu
迎送	ying2'song4
有恃无恐	you3'shi4'wu2'kong3
郁郁	yu4'yu4
元凶	yuan2'xiong1
钟点	zhong1'dian3
撞车	zhuang4'che1
太监	tai4'jian4
抱不平	bao4'bu4'ping2
查抄	cha2'chao1
车前	che1'qian2
代劳	dai4'lao2
当空	dang1'kong1
灯箱	deng1'xiang1
发电站	fa1'dian4'zhan4
复明	fu4'ming2
勾搭	gou1'da
怪诞	guai4'dan4
光辉灿烂	guang1'hui1'can4'lan4
和颜悦色	he2'yan2'yue4'se4
黑锅	hei1'guo1
哄堂大笑	hong1'tang2'da4'xiao4
花剑	hua1'jian4
祸事	huo4'shi4
觊觎	ji4'yu2
寄居	ji4'ju1
架空	jia4'kong1
简言之	jian3'yan2'zhi1
筋斗	jin1'dou3
惊惧	jing1'ju4
晶亮	jing1'liang4
井台	jing3'tai2
刻本	ke4'ben3
老幼	lao3'you4
类推	lei4'tui1
礼让	li3'rang4
螺丝钉	luo2'si1'ding1
煤球	mei2'qiu2
明火	ming2'huo3
明人	ming2'ren2
木柴	mu4'chai2
批次	pi1'ci4
披靡	pi1'mi3
皮下	pi2'xia4
前夫	qian2'fu1
青黄不接	qing1'huang2'bu4'jie1
轻车简从	qing1'che1'jian3'cong2
上溯	shang4'su4
投毒	tou2'du2
脱逃	tuo1'tao2
娓娓	wei3'wei3
巫术	wu1'shu4
巷战	xiang4'zhan4
小动作	xiao3'dong4'zuo4
心魄	xin1'po4
省悟	xing3'wu4
凶器	xiong1'qi4
雪崩	xue3'beng1
血案	xue4'an4
循循善诱	xun2'xun2'shan4'you4
盐业	yan2'ye4
纸牌	zhi3'pai2
装傻	zhuang1'sha3
走南闯北	zou3'nan2'chuang3'bei3
冰河	bing1'he2
侧目	ce4'mu4
成色	cheng2'se4
床板	chuang2'ban3
打杂儿	da3'za2'er
大节	da4'jie2
大庭广众	da4'ting2'guang3'zhong4
