缔约	di4'yue1
非金属	fei1'jin1'shu3
肺病	fei4'bing4
富含	fu4'han2
改口	gai3'kou3
哥儿们	ge1'er'men
航程	hang2'cheng2
火势	huo3'shi4
机要	ji1'yao4
空域	kong1'yu4
零配件	ling2'pei4'jian4
留存	liu2'cun2
闹着玩儿	nao4'zhe'wan2'er
女真	nv3'zhen1
评述	ping2'shu4
情思	qing2'si1
热乎乎	re4'hu1'hu1
山崖	shan1'ya2
试看	shi4'kan4
耸肩	song3'jian1
坛子	tan2'zi3
投诚	tou2'cheng2
图文并茂	tu2'wen2'bing4'mao4
微量	wei1'liang4
小球	xiao3'qiu2
移栽	yi2'zai1
溢于言表	yi4'yu2'yan2'biao3
音色	yin1'se4
鱼池	yu2'chi2
预审	yu4'shen3
朝夕	zhao1'xi1
霸主	ba4'zhu3
本部	ben3'bu4
波段	bo1'duan4
春色	chun1'se4
刀刃	dao1'ren4
斗殴	dou4'ou1
干杯	gan1'bei1
货真价实	huo4'zhen1'jia4'shi2
解冻	jie3'dong4
旧日	jiu4'ri4
老爷爷	lao3'ye2'ye2
两样	liang3'yang4
曼丽	man4'li4
闷气	men4'qi4
蒙骗	meng1'pian4
目击	mu4'ji1
内因	nei4'yin1
农忙	nong2'mang2
契合	qi4'he2
融汇	rong2'hui4
山洪	shan1'hong2
摄像	she4'xiang4
神明	shen2'ming2
誓死	shi4'si3
授意	shou4'yi4
索道	suo3'dao4
提意见	ti2'yi4'jian4
舞曲	wu3'qu3
鲜见	xian1'jian4
信号灯	xin4'hao4'deng1
学艺	xue2'yi4
洋服	yang2'fu2
拥政爱民	yong1'zheng4'ai4'min2
有年	you3'nian2
域中	yu4'zhong1
圆圈	yuan2'quan1
招数	zhao1'shu4
照会	zhao4'hui4
佐证	zuo3'zheng4
哀乐	ai1'yue4
安检	an1'jian3
把柄	ba3'bing3
并轨	bing4'gui3
长裙	chang2'qun2
打基础	da3'ji1'chu3
东头	dong1'tou2
动议	dong4'yi4
废物	fei4'wu
回廊	hui2'lang2
回流	hui2'liu2
混入	hun4'ru4
尽职	jin4'zhi2
爵士	jue2'shi4
离异	li2'yi4
寥寥无几	liao2'liao2'wu2'ji3
毛骨悚然	mao2'gu3'song3'ran2
叛逆	pan4'ni4
起火	qi3'huo
起跑线	qi3'pao3'xian4
敲击	qiao1'ji1
热度	re4'du4
蠕虫	ru2'chong2
升天	sheng1'tian1
实用主义	shi2'yong4'zhu3'yi4
水花	shui3'hua1
说开	shuo1'kai1
天灾	tian1'zai1
铁饭碗	tie3'fan4'wan3
透亮	tou4'liang4
相视	xiang1'shi4
压岁钱	ya1'sui4'qian2
洋楼	yang2'lou2
隐居	yin3'ju1
优厚	you1'hou4
知难而进	zhi1'nan2'er2'jin4
制图	zhi4'tu2
爪子	zhua3'zi
自励	zi4'li4
字幕	zi4'mu4
走低	zou3'di1
族群	zu2'qun2
左邻右舍	zuo3'lin2'you4'she4
半信半疑	ban4'xin4'ban4'yi2
褒奖	bao1'jiang3
传诵	chuan2'song4
打成一片	da3'cheng2'yi1'pian4
恶霸	e4'ba4
慧眼	hui4'yan3
竭诚	jie2'cheng2
京华	jing1'hua2
狂飙	kuang2'biao1
连贯	lian2'guan4
领口	ling3'kou3
绿油油	lv4'you2'you2
卵子	luan3'zi3
美术家	mei3'shu4'jia1
脑勺儿	nao3'shao2'er2
平实	ping2'shi2
前夜	qian2'ye4
入账	ru4'zhang4
撒尿	sa1'niao4
三餐	san1'can1
申雪	shen1'xue3
生息	sheng1'xi1
十二分	shi2'er4'fen1
刷牙	shua1'ya2
条理	tiao2'li3
条纹	tiao2'wen2
铁锨	tie3'xian1
痛惜	tong4'xi1
挖潜	wa1'qian2
炎黄子孙	yan2'huang2'zi3'sun1
秧苗	yang1'miao2
一宿	yi1'su4
隐形	yin3'xing2
迎候	ying2'hou4
油烟	you2'yan1
育龄	yu4'ling2
增收节支	zeng1'shou1'jie2'zhi1
待客	dai4'ke4
地块儿	di4'kuai4'er
玷污	dian4'wu1
风尘	feng1'chen2
风行	feng1'xing2
佛寺	fo2'si4
隔离带	ge2'li2'dai4
横穿	heng2'chuan1
画院	hua4'yuan4
亟须	ji2'xu1
奸淫	jian1'yin2
谨防	jin3'fang2
哭喊	ku1'han3
阔人	kuo4'ren2
肋骨	lei4'gu3
门锁	men2'suo3
名号	ming2'hao4
木然	mu4'ran2
霹雳	pi1'li4
破败	po4'bai4
欠债	qian4'zhai4
染色体	ran3'se4'ti3
尚存	shang4'cun2
水肿	shui3'zhong3
死心	si3'xin1
伺机	si4'ji1
投靠	tou2'kao4
土层	tu3'ceng2
喜气	xi3'qi4
戏说	xi4'shuo1
乡音	xiang1'yin1
演剧	yan3'ju4
硬度	ying4'du4
圆脸	yuan2'lian3
支架	zhi1'jia4
转嫁	zhuan3'jia4
祖坟	zu3'fen2
编著	bian1'zhu4
藏品	cang2'pin3
草料	cao3'liao4
插曲	cha1'qu3
查扣	cha2'kou4
柴草	chai2'cao3
称王	cheng1'wang2
地方官	di4'fang'guan1
狗屁	gou3'pi4
滑动	hua2'dong4
环形	huan2'xing2
校对	jiao4'dui4
看家	kan1'jia1
坑害	keng1'hai4
名分	ming2'fen4
配发	pei4'fa1
气泡	qi4'pao4
缺德	que1'de2
仁慈	ren2'ci2
认输	ren4'shu1
收盘	shou1'pan2
委托人	wei3'tuo1'ren2
西门	xi1'men2
奚落	xi1'luo4
摇手	yao2'shou3
衣裙	yi1'qun2
英雄主义	ying1'xiong2'zhu3'yi4
有增无减	you3'zeng1'wu2'jian3
渔场	yu2'chang3
自问	zi4'wen4
走红	zou3'hong2
补选	bu3'xuan3
不解之缘	bu4'jie3'zhi1'yuan2
仓猝	cang1'cu4
雌雄	ci2'xiong2
胆敢	dan3'gan3
递减	di4'jian3
典当	dian3'dang4
帆布	fan1'bu4
附中	fu4'zhong1
改判	gai3'pan4
工具书	gong1'ju4'shu1
蛤蟆	ha2'ma
怀柔	huai2'rou2
黄包车	huang2'bao1'che1
灰烬	hui1'jin4
胶片	jiao1'pian4
尽忠	jin4'zhong1
进犯	jin4'fan4
居民楼	ju1'min2'lou2
开脱	kai1'tuo1
夸耀	kua1'yao4
冷眼	leng3'yan3
撇嘴	pie3'zui3
起死回生	qi3'si3'hui2'sheng1
谦恭	qian1'gong1
前仆后继	qian2'pu1'hou4'ji4
入主	ru4'zhu3
身不由己	shen1'bu4'you2'ji3
收留	shou1'liu2
水缸	shui3'gang1
水鸟	shui3'niao3
吞吐	tun1'tu3
外貌	wai4'mao4
误国	wu4'guo2
喜好	xi3'hao4
小姨	xiao3'yi2
心扉	xin1'fei1
一溜烟	yi1'liu4'yan1
义愤	yi4'fen4
姻缘	yin1'yuan2
有血有肉	you3'xue4'you3'rou4
匀称	yun2'chen4
增派	zeng1'pai4
众望	zhong4'wang4
转产	zhuan3'chan3
班师	ban1'shi1
厂方	chang3'fang1
称颂	cheng1'song4
大难	da4'nan2
得不偿失	de2'bu4'chang2'shi1
短发	duan3'fa1
多疑	duo1'yi2
阿弥陀佛	e1'mi2'tuo2'fo2
翻越	fan1'yue4
驸马	fu4'ma3
航船	hang2'chuan2
加德满都	jia1'de2'man3'dou1
竞猜	jing4'cai1
老夫	lao3'fu1
怜爱	lian2'ai4
流连忘返	liu2'lian2'wang4'fan3
麻利	ma2'li
毛发	mao2'fa4
免遭	mian3'zao1
碰巧	peng4'qiao3
旗人	qi2'ren2
器皿	qi4'min3
恰似	qia4'si4
勤快	qin2'kuai4
倾倒	qing1'dao3
