潮水	chao2'shui3
本科生	ben3'ke1'sheng1
波涛	bo1'tao1
伯母	bo2'mu3
黑洞	hei1'dong4
间隙	jian4'xi4
连锁店	lian2'suo3'dian4
折扣	zhe2'kou4
波音	bo1'yin1
大名	da4'ming2
秸秆	jie1'gan3
金秋	jin1'qiu1
沙尘	sha1'chen2
税制	shui4'zhi4
稀少	xi1'shao3
战犯	zhan4'fan4
摆设	bai3'she
倒好儿	dao4'hao3'er
发酵	fa1'jiao4
挂职	gua4'zhi2
国宾馆	guo2'bin1'guan3
黑客	hei1'ke4
简便	jian3'bian4
进兵	jin4'bing1
棱镜	leng2'jing4
曲子	qu3'zi
沙子	sha1'zi
夜幕	ye4'mu4
乙肝	yi3'gan1
糟蹋	zao1'ta4
不折不扣	bu4'zhe2'bu4'kou4
风速	feng1'su4
建制	jian4'zhi4
口味	kou3'wei4
明媚	ming2'mei4
上房	shang4'fang2
失眠	shi1'mian2
问话	wen4'hua4
戏台	xi4'tai2
下身	xia4'shen1
相伴	xiang1'ban4
孕妇	yun4'fu4
昭示	zhao1'shi4
纸张	zhi3'zhang1
按期	an4'qi1
多亏	duo1'kui1
华中	hua2'zhong1
烈火	lie4'huo3
千瓦	qian1'wa3
升学	sheng1'xue2
有味儿	you3'wei4'er2
看样子	kan4'yang4'zi3
口粮	kou3'liang2
两端	liang3'duan1
面试	mian4'shi4
嚷嚷	rang1'rang
无暇	wu2'xia2
有钱	you3'qian2
职业化	zhi2'ye4'hua4
成个儿	cheng2'ge4'er
放牧	fang4'mu4
何苦	he2'ku3
冒充	mao4'chong1
民族主义	min2'zu2'zhu3'yi4
迫不及待	po4'bu4'ji2'dai4
青稞	qing1'ke1
致病	zhi4'bing4
转发	zhuan3'fa1
白酒	bai2'jiu3
光缆	guang1'lan3
河口	he2'kou3
后卫	hou4'wei4
苦痛	ku3'tong4
兰花	lan2'hua1
凝重	ning2'zhong4
齐抓共管	qi2'zhua1'gong4'guan3
摄像机	she4'xiang4'ji1
探测器	tan4'ce4'qi4
相看	xiang1'kan4
运载火箭	yun4'zai4'huo3'jian4
追寻	zhui1'xun2
纵向	zong4'xiang4
吵闹	chao3'nao4
断面	duan4'mian4
狐狸	hu2'li2
老子	lao3'zi3
猛增	meng3'zeng1
畏惧	wei4'ju4
下头	xia4'tou2
抚慰	fu3'wei4
间谍	jian4'die2
悬崖	xuan2'ya2
招工	zhao1'gong1
主旨	zhu3'zhi3
独立性	du2'li4'xing4
瓜果	gua1'guo3
会诊	hui4'zhen3
内科	nei4'ke1
劝告	quan4'gao4
弱者	ruo4'zhe3
奢侈	she1'chi3
退缩	tui4'suo1
为时	wei2'shi2
心得	xin1'de2
喧嚣	xuan1'xiao1
编纂	bian1'zuan3
称道	cheng1'dao4
管事	guan3'shi4
年产值	nian2'chan3'zhi2
贫乏	pin2'fa2
契丹	qi4'dan1
失声	shi1'sheng1
守护	shou3'hu4
衣袋	yi1'dai4
簇拥	cu4'yong1
点火	dian3'huo3
抖动	dou3'dong4
港澳台	gang3'ao4'tai2
焊接	han4'jie1
锦旗	jin3'qi2
勤俭	qin2'jian3
显微镜	xian3'wei1'jing4
心腹	xin1'fu4
得逞	de2'cheng3
供货	gong4'huo4
挥舞	hui1'wu3
流亡	liu2'wang2
岁数	sui4'shu
甜头	tian2'tou2
微波	wei1'bo1
无耻	wu2'chi3
闲谈	xian2'tan2
相聚	xiang1'ju4
协议书	xie2'yi4'shu1
厌倦	yan4'juan4
药房	yao4'fang2
医德	yi1'de2
油漆	you2'qi1
韵味	yun4'wei4
差额	cha1'e2
断裂	duan4'lie4
建树	jian4'shu4
浇水	jiao1'shui3
救护	jiu4'hu4
年末	nian2'mo4
人称	ren2'cheng1
先例	xian1'li4
选区	xuan3'qu1
预备役	yu4'bei4'yi4
阵雨	zhen4'yu3
本钱	ben3'qian2
差事	chai1'shi
丑陋	chou3'lou4
低估	di1'gu1
放置	fang4'zhi4
调剂	tiao2'ji4
兄妹	xiong1'mei4
遗嘱	yi2'zhu3
整风	zheng3'feng1
不一	bu4'yi1
打扰	da3'rao3
交界	jiao1'jie4
戒备	jie4'bei4
劳作	lao2'zuo4
绵延	mian2'yan2
入场券	ru4'chang3'quan4
养护	yang3'hu4
腰带	yao1'dai4
做工	zuo4'gong1
宾客	bin1'ke4
不休	bu4'xiu1
工商业	gong1'shang1'ye4
果品	guo3'pin3
合营	he2'ying2
丧事	sang1'shi4
醒悟	xing3'wu4
再生产	zai4'sheng1'chan3
争光	zheng1'guang1
总揽	zong3'lan3
表层	biao3'ceng2
段子	duan4'zi3
国籍	guo2'ji2
核能	he2'neng2
会馆	hui4'guan3
击剑	ji1'jian4
开行	kai1'xing2
客观世界	ke4'guan1'shi4'jie4
囚犯	qiu2'fan4
叹气	tan4'qi4
泄漏	xie4'lou4
引资	yin3'zi1
致意	zhi4'yi4
报效	bao4'xiao4
被褥	bei4'ru4
甘蔗	gan1'zhe4
河谷	he2'gu3
人品	ren2'pin3
算账	suan4'zhang4
添加剂	tian1'jia1'ji4
下流	xia4'liu2
一伙儿	yi1'huo3'er2
装扮	zhuang1'ban4
国界	guo2'jie4
开荒	kai1'huang1
脸蛋儿	lian3'dan4'er
灵敏	ling2'min3
轻蔑	qing1'mie4
山河	shan1'he2
宛如	wan3'ru2
旋风	xuan4'feng1
园子	yuan2'zi
车主	che1'zhu3
导线	dao3'xian4
翻阅	fan1'yue4
公使	gong1'shi3
建功立业	jian4'gong1'li4'ye4
巨头	ju4'tou2
练功	lian4'gong1
批复	pi1'fu4
缺失	que1'shi1
铁道	tie3'dao4
夏日	xia4'ri4
预感	yu4'gan3
自信心	zi4'xin4'xin1
报表	bao4'biao3
不凡	bu4'fan2
菜园	cai4'yuan2
重叠	chong2'die2
大伯	da4'bo2
堤防	di1'fang2
附件	fu4'jian4
灌区	guan4'qu1
过不去	guo4'bu'qu4
绩效	ji4'xiao4
脸孔	lian3'kong3
蘑菇	mo2'gu1
清凉	qing1'liang2
洗钱	xi3'qian2
相爱	xiang1'ai4
找寻	zhao3'xun2
执委会	zhi2'wei3'hui4
诸侯	zhu1'hou2
走马	zou3'ma3
保值	bao3'zhi2
厂子	chang3'zi
沉沉	chen2'chen2
害羞	hai4'xiu1
检修	jian3'xiu1
口语	kou3'yu3
瓦解	wa3'jie3
野菜	ye3'cai4
饱受	bao3'shou4
电气	dian4'qi4
公鸡	gong1'ji1
华裔	hua2'yi4
欺侮	qi1'wu3
盛夏	sheng4'xia4
天井	tian1'jing3
唯物史观	wei2'wu4'shi3'guan1
下海	xia4'hai3
一脉相承	yi1'mai4'xiang1'cheng2
依存	yi1'cun2
债权人	zhai4'quan2'ren2
滞留	zhi4'liu2
中南	zhong1'nan2
动辄	dong4'zhe2
断然	duan4'ran2
多情	duo1'qing2
见于	jian4'yu2
酱油	jiang4'you2
居民区	ju1'min2'qu1
萌发	meng2'fa1
索要	suo3'yao4
添加	tian1'jia1
以身作则	yi3'shen1'zuo4'ze2
制高点	zhi4'gao1'dian3
字典	zi4'dian3
大发	da4'fa
地壳	di4'qiao4
对阵	dui4'zhen4
过快	guo4'kuai4
尖端	jian1'duan1
六一	liu4'yi1
露面	lou4'mian4
埋葬	mai2'zang4
名优	ming2'you1
重型	zhong4'xing2
超期	chao1'qi1
纯净	chun2'jing4
颠簸	dian1'bo3
逗留	dou4'liu2
了不得	liao3'bu'de2
栖息	qi1'xi1
石板	shi2'ban3
水田	shui3'tian2
眺望	tiao4'wang4
一刹那	yi1'cha4'na4
译文	yi4'wen2
应时	ying4'shi2
预约	yu4'yue1
原地	yuan2'di4
