应变	ying4'bian4
平庸	ping2'yong1
堂屋	tang2'wu1
讨好	tao3'hao3
香蕉	xiang1'jiao1
性子	xing4'zi3
修正主义	xiu1'zheng4'zhu3'yi4
志气	zhi4'qi4
北极	bei3'ji2
并购	bing4'gou4
得当	de2'dang4
多于	duo1'yu2
迷失	mi2'shi1
睦邻	mu4'lin2
三北	san1'bei3
盛世	sheng4'shi4
修筑	xiu1'zhu4
直言	zhi2'yan2
饱含	bao3'han2
必然性	bi4'ran2'xing4
车手	che1'shou3
大跃进	da4'yue4'jin4
复仇	fu4'chou2
告状	gao4'zhuang4
精神病	jing1'shen2'bing4
闹事	nao4'shi4
收看	shou1'kan4
突飞猛进	tu1'fei1'meng3'jin4
邪说	xie2'shuo1
衣着	yi1'zhuo2
兵马	bing1'ma3
筹办	chou2'ban4
检查站	jian3'cha2'zhan4
军旅	jun1'lv3
偏离	pian1'li2
摔跤	shuai1'jiao1
万国	wan4'guo2
尾声	wei3'sheng1
不当	bu4'dang4
交响乐	jiao1'xiang3'yue4
精选	jing1'xuan3
明了	ming2'liao3
浓重	nong2'zhong4
挺进	ting3'jin4
印证	yin4'zheng4
比方	bi3'fang1
辩证唯物主义	bian4'zheng4'wei2'wu4'zhu3'yi4
标的	biao1'di4
拨付	bo1'fu4
超导	chao1'dao3
口径	kou3'jing4
舒畅	shu1'chang4
妄图	wang4'tu2
增高	zeng1'gao1
宗教界	zong1'jiao4'jie4
笔直	bi3'zhi2
残余	can2'yu2
殿堂	dian4'tang2
多边贸易	duo1'bian1'mao4'yi4
可恶	ke3'wu4
女篮	nv3'lan2
子时	zi3'shi2
白话	bai2'hua4
澄清	cheng2'qing1
和气	he2'qi
寄予	ji4'yu3
倔强	jue2'jiang4
梦境	meng4'jing4
商谈	shang1'tan2
胜地	sheng4'di4
死伤	si3'shang1
停滞	ting2'zhi4
未成年	wei4'cheng2'nian2
小贩	xiao3'fan4
严明	yan2'ming2
菜篮子	cai4'lan2'zi3
饭桌	fan4'zhuo1
回荡	hui2'dang4
连续剧	lian2'xu4'ju4
赛车	sai4'che1
省得	sheng3'de
水温	shui3'wen1
底层	di3'ceng2
何故	he2'gu4
铁军	tie3'jun1
偷税	tou1'shui4
形而上学	xing2'er2'shang4'xue2
雄壮	xiong2'zhuang4
游击	you2'ji1
不经意	bu4'jing1'yi4
得手	de2'shou3
独到	du2'dao4
方圆	fang1'yuan2
高峰期	gao1'feng1'qi1
国立	guo2'li4
过大	guo4'da4
己任	ji3'ren4
浪花	lang4'hua1
冷汗	leng3'han4
牧草	mu4'cao3
舒展	shu1'zhan3
温情	wen1'qing2
无望	wu2'wang4
选集	xuan3'ji2
纵容	zong4'rong2
保证金	bao3'zheng4'jin1
伯父	bo2'fu4
捣乱	dao3'luan4
悼念	dao4'nian4
东北亚	dong1'bei3'ya4
肥胖	fei2'pang4
减税	jian3'shui4
荣幸	rong2'xing4
社会福利	she4'hui4'fu2'li4
狭小	xia2'xiao3
主宰	zhu3'zai3
裁判员	cai2'pan4'yuan2
