无人区	wu2'ren2'qu1
掌故	zhang3'gu4
中产阶级	zhong1'chan3'jie1'ji2
中流	zhong1'liu2
主创	zhu3'chuang4
资不抵债	zi1'bu4'di3'zhai4
自白	zi4'bai2
组织关系	zu3'zhi1'guan1'xi4
按部就班	an4'bu4'jiu4'ban1
白手起家	bai2'shou3'qi3'jia1
暴乱	bao4'luan4
冰灯	bing1'deng1
查问	cha2'wen4
炽烈	chi4'lie4
戳穿	chuo1'chuan1
次之	ci4'zhi1
单人滑	dan1'ren2'hua2
恫吓	dong4'he4
杜撰	du4'zhuan4
高就	gao1'jiu4
告破	gao4'po4
轰动效应	hong1'dong4'xiao4'ying4
花脸	hua1'lian3
徽章	hui1'zhang1
基础课	ji1'chu3'ke4
接诊	jie1'zhen3
结缘	jie2'yuan2
劲敌	jing4'di2
居心	ju1'xin1
举荐	ju3'jian4
客票	ke4'piao4
辽远	liao2'yuan3
论据	lun4'ju4
论资排辈	lun4'zi1'pai2'bei4
冒汗	mao4'han4
门诊部	men2'zhen3'bu4
灭菌	mie4'jun1
鸣枪	ming2'qiang1
默哀	mo4'ai1
泥人	ni2'ren2
陪客	pei2'ke4
人满为患	ren2'man3'wei2'huan4
升平	sheng1'ping2
丝袜	si1'wa4
天公	tian1'gong1
天宫	tian1'gong1
听天由命	ting1'tian1'you2'ming4
痛斥	tong4'chi4
退守	tui4'shou3
忘形	wang4'xing2
午休	wu3'xiu1
下锅	xia4'guo1
响当当	xiang3'dang1'dang1
逍遥法外	xiao1'yao2'fa3'wai4
消毒剂	xiao1'du2'ji4
泄密	xie4'mi4
心机	xin1'ji1
学运	xue2'yun4
样机	yang4'ji1
窈窕	yao3'tiao3
一门心思	yi1'men2'xin1'si
遗风	yi2'feng1
义举	yi4'ju3
异族	yi4'zu2
翌年	yi4'nian2
影坛	ying3'tan2
游刃有余	you2'ren4'you3'yu2
于今	yu2'jin1
冤假错案	yuan1'jia3'cuo4'an4
远亲	yuan3'qin1
栽树	zai1'shu4
争霸	zheng1'ba4
准保	zhun3'bao3
暗藏	an4'cang2
冰雕	bing1'diao1
不置可否	bu4'zhi4'ke3'fou3
材质	cai2'zhi4
错字	cuo4'zi4
大行其道	da4'xing2'qi2'dao4
吊脚楼	diao4'jiao3'lou2
感念	gan3'nian4
歌坛	ge1'tan2
海量	hai3'liang4
黑幕	hei1'mu4
红柳	hong2'liu3
花招	hua1'zhao1
怀恨	huai2'hen4
回天	hui2'tian1
会审	hui4'shen3
机耕	ji1'geng1
尖兵	jian1'bing1
开盘	kai1'pan2
烤火	kao3'huo3
客套	ke4'tao4
宽心	kuan1'xin1
愧对	kui4'dui4
林网	lin2'wang3
聋子	long2'zi3
录像机	lu4'xiang4'ji1
缕缕	lv3'lv3
美不胜收	mei3'bu4'sheng4'shou1
密闭	mi4'bi4
描画	miao2'hua4
铭文	ming2'wen2
泡影	pao4'ying3
票证	piao4'zheng4
轻重缓急	qing1'zhong4'huan3'ji2
驱除	qu1'chu2
热辣辣	re4'la4'la4
荣誉感	rong2'yu4'gan3
山花	shan1'hua1
善解人意	shan4'jie3'ren2'yi4
声嘶力竭	sheng1'si1'li4'jie2
省力	sheng3'li4
十年动乱	shi2'nian2'dong4'luan4
私企	si1'qi3
送还	song4'hai2
所部	suo3'bu4
梯级	ti1'ji2
天日	tian1'ri4
天知道	tian1'zhi1'dao4
投机取巧	tou2'ji1'qu3'qiao3
推托	tui1'tuo1
亡命	wang2'ming4
香皂	xiang1'zao4
详见	xiang2'jian4
刑期	xing2'qi1
虚张声势	xu1'zhang1'sheng1'shi4
续建	xu4'jian4
沿革	yan2'ge2
义愤填膺	yi4'fen4'tian2'ying1
异己	yi4'ji3
阴沉沉	yin1'chen2'chen2
音乐界	yin1'yue4'jie4
隐忍	yin3'ren3
御驾	yu4'jia4
杂货店	za2'huo4'dian4
杂记	za2'ji4
砸烂	za2'lan4
正史	zheng4'shi3
至尊	zhi4'zun1
中雪	zhong1'xue3
紫砂	zi3'sha1
走马灯	zou3'ma3'deng1
褒扬	bao1'yang2
变戏法	bian4'xi4'fa3
标杆	biao1'gan1
兵员	bing1'yuan2
病员	bing4'yuan2
超音速	chao1'yin1'su4
巢穴	chao2'xue2
从命	cong2'ming4
大做文章	da4'zuo4'wen2'zhang1
倒立	dao4'li4
癫痫	dian1'xian2
动迁	dong4'qian1
豆制品	dou4'zhi4'pin3
法警	fa3'jing3
仿照	fang3'zhao4
分内	fen4'nei4
高洁	gao1'jie2
各家各户	ge4'jia1'ge4'hu4
狗熊	gou3'xiong2
故国	gu4'guo2
国君	guo2'jun1
喊口号	han3'kou3'hao4
合用	he2'yong4
何去何从	he2'qu4'he2'cong2
花会	hua1'hui4
货场	huo4'chang3
击伤	ji1'shang1
技术密集型	ji4'shu4'mi4'ji2'xing2
假意	jia3'yi4
经书	jing1'shu1
精疲力尽	jing1'pi2'li4'jin4
救生	jiu4'sheng1
救世主	jiu4'shi4'zhu3
就范	jiu4'fan4
舅爷	jiu4'ye2
看点	kan4'dian3
空降	kong1'jiang4
烂漫	lan4'man4
凉鞋	liang2'xie2
留影	liu2'ying3
落得	luo4'de
懵懂	meng3'dong3
牌号	pai2'hao4
齐集	qi2'ji2
气粗	qi4'cu1
铅球	qian1'qiu2
前茅	qian2'mao2
请战	qing3'zhan4
少时	shao3'shi2
畲族	she1'zu2
生姜	sheng1'jiang1
十年浩劫	shi2'nian2'hao4'jie2
双杠	shuang1'gang4
水星	shui3'xing1
吮吸	shun3'xi1
说穿	shuo1'chuan1
吞咽	tun1'yan4
挖空心思	wa1'kong1'xin1'si
万顷	wan4'qing3
无人问津	wu2'ren2'wen4'jin1
无懈可击	wu2'xie4'ke3'ji1
险境	xian3'jing4
校服	xiao4'fu2
蝎子	xie1'zi3
选配	xuan3'pei4
雪糕	xue3'gao1
亚健康	ya4'jian4'kang1
有鉴于此	you3'jian4'yu2'ci3
诱骗	you4'pian4
诱使	you4'shi3
约法三章	yue1'fa3'san1'zhang1
砸碎	za2'sui4
在握	zai4'wo4
折算	zhe2'suan4
真才实学	zhen1'cai2'shi2'xue2
中篇	zhong1'pian1
忠孝	zhong1'xiao4
蛛丝马迹	zhu1'si1'ma3'ji4
住手	zhu4'shou3
白金	bai2'jin1
半途而废	ban4'tu2'er2'fei4
边境线	bian1'jing4'xian4
布匹	bu4'pi3
布阵	bu4'zhen4
呈报	cheng2'bao4
愁容	chou2'rong2
吹奏	chui1'zou4
道学	dao4'xue2
地洞	di4'dong4
踱步	duo2'bu4
焚香	fen2'xiang1
风口	feng1'kou3
赶车	gan3'che1
公检法	gong1'jian3'fa3
公允	gong1'yun3
盒饭	he2'fan4
红心	hong2'xin1
击打	ji1'da3
匠人	jiang4'ren2
叫苦不迭	jiao4'ku3'bu4'die2
借阅	jie4'yue4
精液	jing1'ye4
就事论事	jiu4'shi4'lun4'shi4
聚宝盆	ju4'bao3'pen2
口齿	kou3'chi3
