随时	sui2'shi2
广阔	guang3'kuo4
承诺	cheng2'nuo4
自动	zi4'dong4
耕地	geng1'di4
解放军	jie3'fang4'jun1
庆祝	qing4'zhu4
窗口	chuang1'kou3
保留	bao3'liu2
什么样	shen2'me'yang4
专项	zhuan1'xiang4
人民法院	ren2'min2'fa3'yuan4
收购	shou1'gou4
极其	ji2'qi2
赶到	gan3'dao4
写作	xie3'zuo4
陕西	shan3'xi1
呼吁	hu1'yu4
常委	chang2'wei3
试点	shi4'dian3
空中	kong1'zhong1
党组织	dang3'zu3'zhi1
攻击	gong1'ji1
发达国家	fa1'da2'guo2'jia1
承包	cheng2'bao1
祝贺	zhu4'he4
据说	ju4'shuo1
潜力	qian2'li4
严厉	yan2'li4
当局	dang1'ju2
预算	yu4'suan4
配套	pei4'tao4
节日	jie2'ri4
出台	chu1'tai2
农户	nong2'hu4
听取	ting1'qu3
内涵	nei4'han2
设置	she4'zhi4
以便	yi3'bian4
哥哥	ge1'ge1
鲜明	xian1'ming2
摆脱	bai3'tuo1
其余	qi2'yu2
进口	jin4'kou3
展览	zhan3'lan3
叫做	jiao4'zuo4
地理	di4'li3
抓紧	zhua1'jin3
通常	tong1'chang2
中午	zhong1'wu3
难题	nan2'ti2
正如	zheng4'ru2
审议	shen3'yi4
湖北	hu2'bei3
奉献	feng4'xian4
宗旨	zong1'zhi3
感染	gan3'ran3
签署	qian1'shu3
大使	da4'shi3
大多	da4'duo1
不禁	bu4'jin1
中外	zhong1'wai4
一带	yi1'dai4
要是	yao4'shi
夫妇	fu1'fu4
高原	gao1'yuan2
极为	ji2'wei2
相继	xiang1'ji4
失业	shi1'ye4
飞行	fei1'xing2
当事人	dang1'shi4'ren2
工艺	gong1'yi4
拉开	la1'kai1
预计	yu4'ji4
局势	ju2'shi4
流域	liu2'yu4
精心	jing1'xin1
宝贵	bao3'gui4
往来	wang3'lai2
产业化	chan3'ye4'hua4
货物	huo4'wu4
出于	chu1'yu2
摄影	she4'ying3
格外	ge2'wai4
追究	zhui1'jiu1
示范	shi4'fan4
毕业生	bi4'ye4'sheng1
循环	xun2'huan2
网站	wang3'zhan4
研讨会	yan2'tao3'hui4
检测	jian3'ce4
发射	fa1'she4
主办	zhu3'ban4
垃圾	la1'ji1
土壤	tu3'rang3
奶奶	nai3'nai3
爷爷	ye2'ye2
人格	ren2'ge2
翻译	fan1'yi4
伤害	shang1'hai4
大局	da4'ju2
处罚	chu3'fa2
模范	mo2'fan4
年度	nian2'du4
劳动者	lao2'dong4'zhe3
旅客	lv3'ke4
游戏	you2'xi4
人权	ren2'quan2
新鲜	xin1'xian1
实事求是	shi2'shi4'qiu2'shi4
支出	zhi1'chu1
早晨	zao3'chen2
最佳	zui4'jia1
纳入	na4'ru4
物资	wu4'zi1
热闹	re4'nao4
人心	ren2'xin1
怎么样	zen3'me'yang4
监管	jian1'guan3
热爱	re4'ai4
查处	cha2'chu3
总量	zong3'liang4
回头	hui2'tou2
加拿大	jia1'na2'da4
权威	quan2'wei1
审判	shen3'pan4
考验	kao3'yan4
精力	jing1'li4
陷入	xian4'ru4
棉花	mian2'hua1
脱离	tuo1'li2
鉴定	jian4'ding4
相反	xiang1'fan3
人次	ren2'ci4
工商	gong1'shang1
冲击	chong1'ji1
发放	fa1'fang4
此后	ci3'hou4
提升	ti2'sheng1
火车	huo3'che1
协商	xie2'shang1
开会	kai1'hui4
地震	di4'zhen4
人工	ren2'gong1
天空	tian1'kong1
民警	min2'jing3
格局	ge2'ju2
技能	ji4'neng2
来源	lai2'yuan2
不用	bu4'yong4
带有	dai4'you3
竞争力	jing4'zheng1'li4
全局	quan2'ju2
法官	fa3'guan1
居然	ju1'ran2
人体	ren2'ti3
金牌	jin1'pai2
公众	gong1'zhong4
绿化	lv4'hua4
江西	jiang1'xi1
遵守	zun1'shou3
哪些	na3'xie1
类型	lei4'xing2
发明	fa1'ming2
提倡	ti2'chang4
严峻	yan2'jun4
创造性	chuang4'zao4'xing4
夫妻	fu1'qi1
旗帜	qi2'zhi4
面貌	mian4'mao4
联赛	lian2'sai4
俱乐部	ju4'le4'bu4
下乡	xia4'xiang1
到达	dao4'da2
增收	zeng1'shou1
政党	zheng4'dang3
无产阶级	wu2'chan3'jie1'ji2
难得	nan2'de2
高新技术	gao1'xin1'ji4'shu4
课程	ke4'cheng2
营造	ying2'zao4
城里	cheng2'li3
预测	yu4'ce4
小雨	xiao3'yu3
细胞	xi4'bao1
航空	hang2'kong1
现状	xian4'zhuang4
分离	fen1'li2
致富	zhi4'fu4
一口	yi1'kou3
煤矿	mei2'kuang4
安徽	an1'hui1
赔偿	pei2'chang2
骨干	gu3'gan4
