仰赖	yang3'lai4
查点	cha2'dian3
拆装	chai1'zhuang1
阐扬	chan3'yang2
常服	chang2'fu2
敞口	chang3'kou3
承欢	cheng2'huan1
承印	cheng2'yin4
斥骂	chi4'ma4
筹谋	chou2'mou2
出超	chu1'chao1
出谋献策	chu1'mou2'xian4'ce4
船帮	chuan2'bang1
吹拉弹唱	chui1'la1'tan2'chang4
催熟	cui1'shu2
打群架	da3'qun2'jia4
代称	dai4'cheng1
荡妇	dang4'fu4
得宜	de2'yi2
灯座	deng1'zuo4
蹬腿	deng1'tui3
嫡亲	di2'qin1
底版	di3'ban3
电算	dian4'suan4
叠印	die2'yin4
定则	ding4'ze2
兜揽	dou1'lan3
毒虫	du2'chong2
毒犯	du2'fan4
毒箭	du2'jian4
短剧	duan3'ju4
多事之秋	duo1'shi4'zhi1'qiu1
耳聪目明	er3'cong1'mu4'ming2
烦忧	fan2'you1
犯案	fan4'an4
房车	fang2'che1
飞檐走壁	fei1'yan2'zou3'bi4
肺脏	fei4'zang4
分神	fen1'shen2
风卷残云	feng1'juan3'can2'yun2
浮夸风	fu2'kua1'feng1
干冰	gan1'bing1
赶巧	gan3'qiao3
钢缆	gang1'lan3
羔皮	gao1'pi2
隔离室	ge2'li2'shi4
根苗	gen1'miao2
工读学校	gong1'du2'xue2'xiao4
弓背	gong1'bei4
公马	gong1'ma3
鼓膜	gu3'mo2
官复原职	guan1'fu4'yuan2'zhi2
国产片	guo2'chan3'pian4
国脉	guo2'mai4
豪富	hao2'fu4
何曾	he2'ceng2
河狸	he2'li2
河塘	he2'tang2
赫哲族	he4'zhe2'zu2
黑枪	hei1'qiang1
横行无忌	heng2'xing2'wu2'ji4
洪钟	hong2'zhong1
候诊	hou4'zhen3
花缎	hua1'duan4
华尔兹	hua2'er3'zi1
坏水	huai4'shui3
黄麻	huang2'ma2
回车	hui2'che1
荤菜	hun1'cai4
活见鬼	huo2'jian4'gui3
火炽	huo3'chi4
火力点	huo3'li4'dian3
几案	ji1'an4
机位	ji1'wei4
鸡飞蛋打	ji1'fei1'dan4'da3
鸡心	ji1'xin1
忌恨	ji4'hen4
佳期	jia1'qi1
见谅	jian4'liang4
豇豆	jiang1'dou4
胶泥	jiao1'ni2
教龄	jiao4'ling2
接合部	jie1'he2'bu4
锦纶	jin3'lun2
进香	jin4'xiang1
近亲繁殖	jin4'qin1'fan2'zhi2
旧都	jiu4'du1
橘黄	ju2'huang2
聚赌	ju4'du3
军火商	jun1'huo3'shang1
开眼界	kai1'yan3'jie4
枯涩	ku1'se4
狂想曲	kuang2'xiang3'qu3
蜡纸	la4'zhi3
阑珊	lan2'shan1
冷杉	leng3'shan1
礼贤下士	li3'xian2'xia4'shi4
连写	lian2'xie3
联署	lian2'shu3
凌汛	ling2'xun4
另辟蹊径	ling4'pi4'xi1'jing4
露馅儿	lou4'xian4'er
炉台	lu2'tai2
马掌	ma3'zhang3
买账	mai3'zhang4
慢车	man4'che1
免役	mian3'yi4
冥顽	ming2'wan2
抹粉	mo3'fen3
谋财害命	mou2'cai2'hai4'ming4
那么点儿	na4'me'dian3'er
男宾	nan2'bin1
难兄难弟	nan4'xiong1'nan4'di4
鸟兽散	niao3'shou4'san4
炮车	pao4'che1
炮灰	pao4'hui1
喷墨	pen1'mo4
飘逝	piao1'shi4
平铺直叙	ping2'pu1'zhi2'xu4
评功	ping2'gong1
普米族	pu3'mi3'zu2
骑楼	qi2'lou2
启发式	qi3'fa4'shi4
强似	qiang2'si4
窃听器	qie4'ting1'qi4
倾囊	qing1'nang2
丘壑	qiu1'he4
求乞	qiu2'qi3
祛病	qu1'bing4
全价	quan2'jia4
劝学	quan4'xue2
确当	que4'dang4
染发	ran3'fa1
热卖	re4'mai4
人鱼	ren2'yu2
三好生	san1'hao3'sheng1
三皇五帝	san1'huang2'wu3'di4
丧亡	sang4'wang2
杀人越货	sha1'ren2'yue4'huo4
擅离职守	shan4'li2'zhi2'shou3
社戏	she4'xi4
神驰	shen2'chi2
神物	shen2'wu4
圣手	sheng4'shou3
石槽	shi2'cao2
食疗	shi2'liao2
蚀本	shi2'ben3
收存	shou1'cun2
寿比南山	shou4'bi3'nan2'shan1
寿礼	shou4'li3
售罄	shou4'qing4
书亭	shu1'ting2
耍贫嘴	shua3'pin2'zui3
睡眼惺忪	shui4'yan3'xing1'song1
私章	si1'zhang1
四郊	si4'jiao1
松脂	song1'zhi1
苏铁	su1'tie3
酸臭	suan1'chou4
糖块儿	tang2'kuai4'er
套牢	tao4'lao2
特出	te4'chu1
题签	ti2'qian1
挑食	tiao1'shi2
调羹	tiao2'geng1
铁臂	tie3'bi4
童星	tong2'xing1
童贞	tong2'zhen1
土地证	tu3'di4'zheng4
外感	wai4'gan3
危楼	wei1'lou2
文德	wen2'de2
文献片	wen2'xian4'pian4
握拳	wo4'quan2
五雷轰顶	wu3'lei2'hong1'ding3
误杀	wu4'sha1
西洋参	xi1'yang2'shen1
系念	xi4'nian4
细皮嫩肉	xi4'pi2'nen4'rou4
闲步	xian2'bu4
贤士	xian2'shi4
显影	xian3'ying3
香灰	xiang1'hui1
详明	xiang2'ming2
削球	xue1'qiu2
小豆	xiao3'dou4
校花	xiao4'hua1
兴学	xing1'xue2
行状	xing2'zhuang4
杏眼	xing4'yan3
玄色	xuan2'se4
学贯中西	xue2'guan4'zhong1'xi1
押款	ya1'kuan3
