发泄	fa1'xie4
上头	shang4'tou
微妙	wei1'miao4
辗转	zhan3'zhuan3
吃喝	chi1'he1
出战	chu1'zhan4
归结	gui1'jie2
迷惑	mi2'huo4
欣然	xin1'ran2
成年人	cheng2'nian2'ren2
合一	he2'yi1
激素	ji1'su4
前身	qian2'shen1
样本	yang4'ben3
语调	yu3'diao4
自已	zi4'yi3
荡荡	dang4'dang4
基石	ji1'shi2
庙会	miao4'hui4
全权	quan2'quan2
生产方式	sheng1'chan3'fang1'shi4
手腕	shou3'wan4
展厅	zhan3'ting1
遵照	zun1'zhao4
好汉	hao3'han4
火热	huo3're4
清脆	qing1'cui4
下意识	xia4'yi4'shi2
自尽	zi4'jin4
半天	ban4'tian1
罢工	ba4'gong1
不公	bu4'gong1
登台	deng1'tai2
独有	du2'you3
明月	ming2'yue4
无需	wu2'xu1
主人翁	zhu3'ren2'weng1
访谈	fang3'tan2
戈壁	ge1'bi4
抗争	kang4'zheng1
老者	lao3'zhe3
梦幻	meng4'huan4
特邀	te4'yao1
威严	wei1'yan2
治污	zhi4'wu1
冬奥会	dong1'ao4'hui4
冷落	leng3'luo4
舍得	she3'de
小车	xiao3'che1
原野	yuan2'ye3
镇定	zhen4'ding4
昂贵	ang2'gui4
哽咽	geng3'ye4
脊梁	ji3'liang2
家政	jia1'zheng4
勘察	kan1'cha2
求学	qiu2'xue2
试想	shi4'xiang3
暑期	shu3'qi1
探险	tan4'xian3
医疗队	yi1'liao2'dui4
白人	bai2'ren2
放射	fang4'she4
谎言	huang3'yan2
荔枝	li4'zhi1
人手	ren2'shou3
私有	si1'you3
作法	zuo4'fa3
做文章	zuo4'wen2'zhang1
采伐	cai3'fa2
除夕	chu2'xi1
加倍	jia1'bei4
泉水	quan2'shui3
思想家	si1'xiang3'jia1
打赢	da3'ying2
电影院	dian4'ying3'yuan4
反问	fan3'wen4
关中	guan1'zhong1
海岛	hai3'dao3
觉醒	jue2'xing3
盲人	mang2'ren2
事事	shi4'shi4
蕴含	yun4'han2
召回	zhao4'hui2
潜艇	qian2'ting3
无心	wu2'xin1
逼人	bi1'ren2
濒临	bin1'lin2
户外	hu4'wai4
加油	jia1'you2
区位	qu1'wei4
书信	shu1'xin4
苏维埃	su1'wei2'ai1
下台	xia4'tai2
印章	yin4'zhang1
自强不息	zi4'qiang2'bu4'xi1
归侨	gui1'qiao2
花儿	hua1'r
近似	jin4'si4
失衡	shi1'heng2
守信	shou3'xin4
错综复杂	cuo4'zong1'fu4'za2
款项	kuan3'xiang4
难于	nan2'yu2
施加	shi1'jia1
手绢	shou3'juan4
庸俗	yong1'su2
共和	gong4'he2
团聚	tuan2'ju4
细雨	xi4'yu3
行进	xing2'jin4
波浪	bo1'lang4
出血	chu1'xie3
归属	gui1'shu3
紧缺	jin3'que1
磕头	ke1'tou2
清澈	qing1'che4
涉外	she4'wai4
衰老	shuai1'lao3
意料	yi4'liao4
凡事	fan2'shi4
会面	hui4'mian4
积极分子	ji1'ji2'fen1'zi3
吉祥	ji2'xiang2
倾注	qing1'zhu4
素材	su4'cai2
网络化	wang3'luo4'hua4
愚昧	yu2'mei4
房东	fang2'dong1
放假	fang4'jia4
环绕	huan2'rao4
激战	ji1'zhan4
妥当	tuo3'dang
雄伟	xiong2'wei3
质问	zhi4'wen4
处以	chu3'yi3
非但	fei1'dan4
国产化	guo2'chan3'hua4
数值	shu4'zhi2
月刊	yue4'kan1
正当	zheng4'dang1
炒作	chao3'zuo4
讴歌	ou1'ge1
盛开	sheng4'kai1
西服	xi1'fu2
下调	xia4'tiao2
桂冠	gui4'guan1
行情	hang2'qing2
黑社会	hei1'she4'hui4
激荡	ji1'dang4
指挥员	zhi3'hui1'yuan2
中专	zhong1'zhuan1
主席台	zhu3'xi2'tai2
畅谈	chang4'tan2
大案	da4'an4
功劳	gong1'lao2
回扣	hui2'kou4
机体	ji1'ti3
加固	jia1'gu4
随笔	sui2'bi3
蚊子	wen2'zi3
要害	yao4'hai4
早餐	zao3'can1
知觉	zhi1'jue2
专版	zhuan1'ban3
公理	gong1'li3
顾及	gu4'ji2
汉人	han4'ren2
旧址	jiu4'zhi3
路灯	lu4'deng1
求实	qiu2'shi2
事态	shi4'tai4
朝阳	chao2'yang2
链条	lian4'tiao2
留念	liu2'nian4
马驹	ma3'ju1
销路	xiao1'lu4
百分之百	bai3'fen1'zhi1'bai3
份儿	fen4'er
丰碑	feng1'bei1
硅谷	gui1'gu3
警戒	jing3'jie4
会计师	kuai4'ji4'shi1
配件	pei4'jian4
收割	shou1'ge1
手心	shou3'xin1
校舍	xiao4'she4
紫色	zi3'se4
工期	gong1'qi1
礼拜	li3'bai4
列举	lie4'ju3
放慢	fang4'man4
昆曲	kun1'qu3
热切	re4'qie4
善后	shan4'hou4
社会关系	she4'hui4'guan1'xi4
统战	tong3'zhan4
雅加达	ya3'jia1'da2
执意	zhi2'yi4
租界	zu1'jie4
机车	ji1'che1
咱俩	zan2'lia3
准是	zhun3'shi4
不致	bu4'zhi4
共存	gong4'cun2
激进	ji1'jin4
掠夺	lve4'duo2
失信	shi1'xin4
