混战	hun4'zhan4
气度	qi4'du4
身段	shen1'duan4
瘦小	shou4'xiao3
摊点	tan1'dian3
先河	xian1'he2
学系	xue2'xi4
营利	ying2'li4
云彩	yun2'cai3
指派	zhi3'pai4
穿插	chuan1'cha1
刺耳	ci4'er3
代号	dai4'hao4
胆识	dan3'shi2
发包	fa1'bao1
副总	fu4'zong3
挂号	gua4'hao4
花坛	hua1'tan2
泪眼	lei4'yan3
灵芝	ling2'zhi1
凝神	ning2'shen2
铺盖	pu1'gai
损耗	sun3'hao4
台子	tai2'zi
外号	wai4'hao4
信得过	xin4'de'guo4
兴盛	xing1'sheng4
幸免	xing4'mian3
掌管	zhang3'guan3
整夜	zheng3'ye4
正午	zheng4'wu3
大悟	da4'wu4
鳄鱼	e4'yu2
胳臂	ge1'bei
海棠	hai3'tang2
花瓣	hua1'ban4
还贷	hai2'dai4
几分	ji3'fen1
落日	luo4'ri4
美金	mei3'jin1
女方	nv3'fang1
气焰	qi4'yan4
人中	ren2'zhong1
三九	san1'jiu3
水道	shui3'dao4
探听	tan4'ting1
滔滔不绝	tao1'tao1'bu4'jue2
退休金	tui4'xiu1'jin1
下狱	xia4'yu4
余下	yu2'xia4
自理	zi4'li3
保龄球	bao3'ling2'qiu2
报价	bao4'jia4
奔流	ben1'liu2
比武	bi3'wu3
不败之地	bu4'bai4'zhi1'di4
彩旗	cai3'qi2
插话	cha1'hua4
过冬	guo4'dong1
河堤	he2'di1
洪亮	hong2'liang4
糊里糊涂	hu2'li'hu2'tu
继母	ji4'mu3
静寂	jing4'ji4
抗癌	kang4'ai2
拦阻	lan2'zu3
立意	li4'yi4
茅屋	mao2'wu1
命脉	ming4'mai4
枪杀	qiang1'sha1
热泪盈眶	re4'lei4'ying2'kuang4
杀伤	sha1'shang1
上限	shang4'xian4
完结	wan2'jie2
无话可说	wu2'hua4'ke3'shuo1
一星儿	yi1'xing1'er
致敬	zhi4'jing4
暗想	an4'xiang3
罢了	ba4'liao3
百日	bai3'ri4
帮困	bang1'kun4
盹儿	dun3'er
附带	fu4'dai4
关东	guan1'dong1
核潜艇	he2'qian2'ting3
经不起	jing1'bu4'qi3
痉挛	jing4'luan2
快车道	kuai4'che1'dao4
缭绕	liao2'rao4
路人	lu4'ren2
末年	mo4'nian2
器件	qi4'jian4
牵扯	qian1'che3
商城	shang1'cheng2
书局	shu1'ju2
孝顺	xiao4'shun4
谢罪	xie4'zui4
一帆风顺	yi1'fan1'feng1'shun4
知音	zhi1'yin1
碧波	bi4'bo1
菜刀	cai4'dao1
操练	cao1'lian4
船队	chuan2'dui4
慈爱	ci2'ai4
底部	di3'bu4
典籍	dian3'ji2
跺脚	duo4'jiao3
画报	hua4'bao4
环顾	huan2'gu4
举证	ju3'zheng4
老哥	lao3'ge1
录像带	lu4'xiang4'dai4
马列	ma3'lie4
袍子	pao2'zi3
巧合	qiao3'he2
体态	ti3'tai4
殷墟	yin1'xu1
拥戴	yong1'dai4
有意无意	you3'yi4'wu2'yi4
着眼点	zhuo2'yan3'dian3
抽搐	chou1'chu4
大干	da4'gan1
定时	ding4'shi2
隔阂	ge2'he2
姑息	gu1'xi1
洪峰	hong2'feng1
花色	hua1'se4
澎湃	peng2'pai4
认购	ren4'gou4
