润滑油	run4'hua2'you2
年鉴	nian2'jian4
千里迢迢	qian1'li3'tiao2'tiao2
轻纺	qing1'fang3
清纯	qing1'chun2
情爱	qing2'ai4
趋同	qu1'tong2
熔炉	rong2'lu2
手边	shou3'bian1
四顾	si4'gu4
贴切	tie1'qie4
听任	ting1'ren4
图章	tu2'zhang1
忘情	wang4'qing2
污秽	wu1'hui4
污辱	wu1'ru3
细碎	xi4'sui4
选调	xuan3'diao4
援兵	yuan2'bing1
湛蓝	zhan4'lan2
株式会社	zhu1'shi4'hui4'she4
主顾	zhu3'gu4
安眠药	an1'mian2'yao4
殡仪馆	bin4'yi2'guan3
彩绘	cai3'hui4
成文	cheng2'wen2
触电	chu4'dian4
打盹儿	da3'dun3'er
呆子	dai1'zi3
德性	de2'xing4
巅峰	dian1'feng1
防水	fang2'shui3
国运	guo2'yun4
居家	ju1'jia1
懒惰	lan3'duo4
老早	lao3'zao3
脸子	lian3'zi3
绿豆	lv4'dou4
毛毯	mao2'tan3
农耕	nong2'geng1
攀谈	pan1'tan2
蓬松	peng2'song1
票面	piao4'mian4
守备	shou3'bei4
受教	shou4'jiao1
素不相识	su4'bu4'xiang1'shi2
下辖	xia4'xia2
仰慕	yang3'mu4
招降	zhao1'xiang2
制种	zhi4'zhong3
重压	zhong4'ya1
著者	zhu4'zhe3
转账	zhuan3'zhang4
爱美	ai4'mei3
比照	bi3'zhao4
鞭挞	bian1'ta4
菠菜	bo1'cai4
不像话	bu4'xiang4'hua4
灿灿	can4'can4
赤子	chi4'zi3
初秋	chu1'qiu1
敌我	di2'wo3
跌跌撞撞	die1'die1'zhuang4'zhuang4
姑父	gu1'fu
何谓	he2'wei4
减半	jian3'ban4
烤烟	kao3'yan1
款款	kuan3'kuan3
矿藏	kuang4'cang2
来龙去脉	lai2'long2'qu4'mai4
来势	lai2'shi4
逆流	ni4'liu2
起色	qi3'se4
千户	qian1'hu4
颧骨	quan2'gu3
荣辱	rong2'ru3
市井	shi4'jing3
托儿所	tuo1'er2'suo3
文摘	wen2'zhai1
相知	xiang1'zhi1
宣传画	xuan1'chuan2'hua4
寻根	xun2'gen1
硬朗	ying4'lang3
有气无力	you3'qi4'wu2'li4
原稿	yuan2'gao3
政纪	zheng4'ji4
直言不讳	zhi2'yan2'bu4'hui4
作业本	zuo4'ye4'ben3
败北	bai4'bei3
兵种	bing1'zhong3
饽饽	bo1'bo1
不关	bu4'guan1
不容置疑	bu4'rong2'zhi4'yi2
采样	cai3'yang4
缠身	chan2'shen1
炊事班	chui1'shi4'ban1
错别字	cuo4'bie2'zi4
大无畏	da4'wu2'wei4
大雁	da4'yan4
发酸	fa1'suan1
副标题	fu4'biao1'ti2
膏药	gao1'yao
核燃料	he2'ran2'liao4
疾驰	ji2'chi2
集子	ji2'zi3
寄语	ji4'yu3
久拖不决	jiu3'tuo1'bu4'jue2
开道	kai1'dao4
棉布	mian2'bu4
盘踞	pan2'ju4
齐整	qi2'zheng3
千篇一律	qian1'pian1'yi1'lv4
球赛	qiu2'sai4
让位	rang4'wei4
身居	shen1'ju1
生生不息	sheng1'sheng1'bu4'xi1
条令	tiao2'ling4
挺身	ting3'shen1
西餐	xi1'can1
舷梯	xian2'ti1
学籍	xue2'ji2
营生	ying2'sheng1
摘登	zhai1'deng1
正轨	zheng4'gui3
逐日	zhu2'ri4
壮丁	zhuang4'ding1
闭口	bi4'kou3
标尺	biao1'chi3
不巧	bu4'qiao3
布袋	bu4'dai4
蚕食	can2'shi2
从属	cong2'shu3
凑热闹	cou4're4'nao4
淡泊	dan4'bo2
淡忘	dan4'wang4
灯会	deng1'hui4
顶替	ding3'ti4
愤懑	fen4'men4
付息	fu4'xi1
高年级	gao1'nian2'ji2
刽子手	gui4'zi3'shou3
果汁	guo3'zhi1
浩荡	hao4'dang4
哄笑	hong1'xiao4
将门	jiang4'men2
可口可乐	ke3'kou3'ke3'le4
口才	kou3'cai2
框框	kuang4'kuang4
老成	lao3'cheng2
凌空	ling2'kong1
零乱	ling2'luan4
抹布	ma1'bu4
面谈	mian4'tan2
暖意	nuan3'yi4
桑叶	sang1'ye4
受气	shou4'qi4
通史	tong1'shi3
退兵	tui4'bing1
外祖母	wai4'zu3'mu3
闻名遐迩	wen2'ming2'xia2'er3
细密	xi4'mi4
小寒	xiao3'han2
邂逅	xie4'hou4
心计	xin1'ji4
心神	xin1'shen2
学分	xue2'fen1
盐场	yan2'chang3
摇钱树	yao2'qian2'shu4
游艺	you2'yi4
招揽	zhao1'lan3
爪牙	zhao3'ya2
专论	zhuan1'lun4
着意	zhuo2'yi4
棕榈	zong1'lv2
阻击	zu3'ji1
