烘托	hong1'tuo1
风车	feng1'che1
工兵	gong1'bing1
过路	guo4'lu4
花岗岩	hua1'gang1'yan2
霍乱	huo4'luan4
窘境	jiong3'jing4
可乐	ke3'le4
连环画	lian2'huan2'hua4
陵园	ling2'yuan2
骗局	pian4'ju2
坡地	po1'di4
气田	qi4'tian2
青工	qing1'gong1
人缘	ren2'yuan2
沙皇	sha1'huang2
私塾	si1'shu2
他日	ta1'ri4
同名	tong2'ming2
为患	wei2'huan4
围裙	wei2'qun2
小家伙	xiao3'jia1'huo
寻思	xun2'si
严冬	yan2'dong1
洋房	yang2'fang2
一望无际	yi1'wang4'wu2'ji4
有闲	you3'xian2
丈人	zhang4'ren
重金	zhong4'jin1
安逸	an1'yi4
白花	bai2'hua1
编后	bian1'hou4
不依	bu4'yi1
采暖	cai3'nuan3
赤裸	chi4'luo3
炊事员	chui1'shi4'yuan2
搭档	da1'dang4
费解	fei4'jie3
高悬	gao1'xuan2
革除	ge2'chu2
格格不入	ge2'ge2'bu4'ru4
航空兵	hang2'kong1'bing1
馄饨	hun2'tun2
吉他	ji2'ta1
简练	jian3'lian4
教主	jiao4'zhu3
接访	jie1'fang3
雷同	lei2'tong2
麻绳	ma2'sheng2
鸟笼	niao3'long2
日用品	ri4'yong4'pin3
赏心悦目	shang3'xin1'yue4'mu4
睡意	shui4'yi4
四边形	si4'bian1'xing2
西面	xi1'mian4
稀薄	xi1'bo2
相迎	xiang1'ying2
性急	xing4'ji2
修剪	xiu1'jian3
羞怯	xiu1'qie4
游动	you2'dong4
只身	zhi1'shen1
白领	bai2'ling3
卑劣	bei1'lie4
沉沦	chen2'lun2
地窖	di4'jiao4
爹妈	die1'ma1
顶点	ding3'dian3
皇室	huang2'shi4
昏黄	hun1'huang2
纪要	ji4'yao4
垮台	kua3'tai2
忙活	mang2'huo
枇杷	pi2'pa2
坡度	po1'du4
潜逃	qian2'tao2
侍卫	shi4'wei4
说真的	shuo1'zhen1'de
算术	suan4'shu4
逃命	tao2'ming4
听讲	ting1'jiang3
屯兵	tun2'bing1
惘然	wang3'ran2
液化气	ye4'hua4'qi4
游船	you2'chuan2
诏令	zhao4'ling4
钟表	zhong1'biao3
爱慕	ai4'mu4
把头	ba3'tou2
笔记本电脑	bi3'ji4'ben3'dian4'nao3
笔试	bi3'shi4
博览	bo2'lan3
德治	de2'zhi4
法文	fa3'wen2
仿效	fang3'xiao4
各司其职	ge4'si1'qi2'zhi2
古时	gu3'shi2
寒冬	han2'dong1
竟敢	jing4'gan3
客观性	ke4'guan1'xing4
口红	kou3'hong2
廉洁奉公	lian2'jie2'feng4'gong1
煤油灯	mei2'you2'deng1
末日	mo4'ri4
眸子	mou2'zi3
然则	ran2'ze2
热身	re4'shen1
摄影师	she4'ying3'shi1
体校	ti3'xiao4
一针见血	yi1'zhen1'jian4'xie3
悠长	you1'chang2
直角	zhi2'jiao3
轴承	zhou2'cheng2
钻井	zuan4'jing3
背负	bei1'fu4
不只	bu4'zhi3
冲撞	chong1'zhuang4
垂危	chui2'wei1
发祥地	fa1'xiang2'di4
公婆	gong1'po2
后记	hou4'ji4
会员国	hui4'yuan2'guo2
泪痕	lei4'hen2
立正	li4'zheng4
绿色食品	lv4'se4'shi2'pin3
骡马	luo2'ma3
马桶	ma3'tong3
男方	nan2'fang1
迁出	qian1'chu1
肉牛	rou4'niu2
锐意进取	rui4'yi4'jin4'qu3
瑟瑟	se4'se4
圣贤	sheng4'xian2
失意	shi1'yi4
天经地义	tian1'jing1'di4'yi4
恬静	tian2'jing4
违法乱纪	wei2'fa3'luan4'ji4
先天性	xian1'tian1'xing4
信守	xin4'shou3
印行	yin4'xing2
有感	you3'gan3
语境	yu3'jing4
掌权	zhang3'quan2
终场	zhong1'chang3
周日	zhou1'ri4
搭车	da1'che1
动因	dong4'yin1
恶果	e4'guo3
改版	gai3'ban3
盖房	gai4'fang2
阁楼	ge2'lou2
巷道	hang4'dao4
黑压压	hei1'ya1'ya1
华美	hua2'mei3
夹攻	jia1'gong1
假药	jia3'yao4
减退	jian3'tui4
结结巴巴	jie1'jie'ba1'ba1
看得起	kan4'de'qi3
量刑	liang4'xing2
木工	mu4'gong1
年夜饭	nian2'ye4'fan4
酿造	niang4'zao4
铺路	pu1'lu4
手忙脚乱	shou3'mang2'jiao3'luan4
松软	song1'ruan3
损毁	sun3'hui3
温热	wen1're4
闲散	xian2'san3
心不在焉	xin1'bu4'zai4'yan1
新纪元	xin1'ji4'yuan2
行头	xing2'tou
映衬	ying4'chen4
豫剧	yu4'ju4
在先	zai4'xian1
八旗	ba1'qi2
掺杂	chan1'za2
乘务员	cheng2'wu4'yuan2
出汗	chu1'han4
出谋划策	chu1'mou2'hua4'ce4
打猎	da3'lie4
点灯	dian3'deng1
对症下药	dui4'zheng4'xia4'yao4
高职	gao1'zhi2
后患	hou4'huan4
后排	hou4'pai2
极右	ji2'you4
假山	jia3'shan1
尖利	jian1'li4
巨款	ju4'kuan3
炕头	kang4'tou2
零散	ling2'san3
萌生	meng2'sheng1
面值	mian4'zhi2
明说	ming2'shuo1
木偶	mu4'ou3
亲事	qin1'shi
让利	rang4'li4
忍无可忍	ren3'wu2'ke3'ren3
试剂	shi4'ji4
双层	shuang1'ceng2
死罪	si3'zui4
缩减	suo1'jian3
替补	ti4'bu3
脱口而出	tuo1'kou3'er2'chu1
瘟疫	wen1'yi4
武功	wu3'gong1
小字	xiao3'zi4
徇私舞弊	xun4'si1'wu3'bi4
遥遥	yao2'yao2
黝黑	you3'hei1
雨声	yu3'sheng1
雨衣	yu3'yi1
在世	zai4'shi4
怎么的	zen3'me'de
综上所述	zong1'shang4'suo3'shu4
百折不挠	bai3'zhe2'bu4'nao2
地基	di4'ji1
二老	er4'lao3
法医	fa3'yi1
工龄	gong1'ling2
海防	hai3'fang2
回转	hui2'zhuan3
解围	jie3'wei2
今朝	jin1'zhao1
剧毒	ju4'du2
连天	lian2'tian1
吝啬	lin4'se4
埋没	mai2'mo4
驱赶	qu1'gan3
辱骂	ru3'ma4
逃窜	tao2'cuan4
温存	wen1'cun2
详情	xiang2'qing2
严加	yan2'jia1
一个劲儿	yi1'ge'jin4'er
阴郁	yin1'yu4
愈合	yu4'he2
运抵	yun4'di3
至多	zhi4'duo1
走好	zou3'hao3
报请	bao4'qing3
捕食	bu3'shi2
肠子	chang2'zi3
次第	ci4'di4
端详	duan1'xiang2
分厂	fen1'chang3
腐化	fu3'hua4
豪杰	hao2'jie2
货主	huo4'zhu3
浇筑	jiao1'zhu4
军需	jun1'xu1
看不惯	kan4'bu4'guan4
愧疚	kui4'jiu4
马力	ma3'li4
蒙蔽	meng2'bi4
泥潭	ni2'tan2
排泄	pai2'xie4
送电	song4'dian4
信息社会	xin4'xi1'she4'hui4
演艺	yan3'yi4
养料	yang3'liao4
一家子	yi1'jia1'zi
隐匿	yin3'ni4
有的放矢	you3'di4'fang4'shi3
值班室	zhi2'ban1'shi4
报喜	bao4'xi3
鼻尖	bi2'jian1
单词	dan1'ci2
费劲	fei4'jin4
俯瞰	fu3'kan4
高危	gao1'wei1
换位	huan4'wei4
汇票	hui4'piao4
脊椎动物	ji3'zhui1'dong4'wu4
惊骇	jing1'hai4
开山	kai1'shan1
课时	ke4'shi2
迷宫	mi2'gong1
迷离	mi2'li2
山腰	shan1'yao1
申明	shen1'ming2
史家	shi3'jia1
陶器	tao2'qi4
田头	tian2'tou2
相接	xiang1'jie1
遗书	yi2'shu1
盈盈	ying2'ying2
月牙儿	yue4'ya2'er2
载歌载舞	zai4'ge1'zai4'wu3
之极	zhi1'ji2
挚爱	zhi4'ai4
自打	zi4'da3
