节欲	jie2'yu4
海蛎子	hai3'li4'zi3
海兽	hai3'shou4
海蟹	hai3'xie4
害眼	hai4'yan3
蚶子	han1'zi3
含血喷人	han2'xue4'pen1'ren2
行帮	hang2'bang1
合成革	he2'cheng2'ge2
和畅	he2'chang4
河系	he2'xi4
喝倒彩	he4'dao4'cai3
恒产	heng2'chan3
横生枝节	heng2'sheng1'zhi1'jie2
红小豆	hong2'xiao3'dou4
后账	hou4'zhang4
胡侃	hu2'kan3
胡子茬儿	hu2'zi3'cha2'er
湖绿	hu2'lv4
花纱布	hua1'sha1'bu4
画帖	hua4'tie4
还情	huan2'qing2
宦途	huan4'tu2
黄金地带	huang2'jin1'di4'dai4
回归热	hui2'gui1're4
汇寄	hui4'ji4
浑身是胆	hun2'shen1'shi4'dan3
火把节	huo3'ba3'jie2
火化场	huo3'hua4'chang3
火急火燎	huo3'ji2'huo3'liao3
机杼	ji1'zhu4
基围虾	ji1'wei2'xia1
吉人天相	ji2'ren2'tian1'xiang4
极限运动	ji2'xian4'yun4'dong4
急救包	ji2'jiu4'bao1
急就章	ji2'jiu4'zhang1
集体户	ji2'ti3'hu4
记诵	ji4'song4
忌辰	ji4'chen2
架得住	jia4'de'zhu4
减缩	jian3'suo1
简笔	jian3'bi3
娇纵	jiao1'zong4
胶合	jiao1'he2
结垢	jie2'gou4
金鸡纳霜	jin1'ji1'na4'shuang1
进军号	jin4'jun1'hao4
劲升	jing4'sheng1
镜花水月	jing4'hua1'shui3'yue4
旧迹	jiu4'ji4
救赎	jiu4'shu2
就席	jiu4'xi2
倨傲	ju4'ao4
均摊	jun1'tan1
开拓型	kai1'tuo4'xing2
开心果	kai1'xin1'guo3
刊用	kan1'yong4
看跌	kan4'die1
康拜因	kang1'bai4'yin1
可圈可点	ke3'quan1'ke3'dian3
客里空	ke4'li3'kong1
客死	ke4'si3
空驶	kong1'shi3
空手道	kong1'shou3'dao4
孔雀蓝	kong3'que4'lan2
空额	kong4'e2
口疮	kou3'chuang1
口水战	kou3'shui3'zhan4
口误	kou3'wu4
枯荣	ku1'rong2
苦短	ku3'duan3
库藏	ku4'zang4
款型	kuan3'xing2
坤包	kun1'bao1
拉丁字母	la1'ding1'zi4'mu3
兰花指	lan2'hua1'zhi3
烂账	lan4'zhang4
捞油水	lao1'you2'shui3
劳燕分飞	lao2'yan4'fen1'fei1
老马识途	lao3'ma3'shi2'tu2
乐天知命	le4'tian1'zhi1'ming4
雷场	lei2'chang3
冷藏室	leng3'cang2'shi4
离宫	li2'gong1
里脊	li3'ji3
利齿	li4'chi3
例举	li4'ju3
连番	lian2'fan1
鬣狗	lie4'gou3
鲮鱼	ling2'yu2
领命	ling3'ming4
流注	liu2'zhu4
镏金	liu2'jin1
柳琴	liu3'qin2
隆胸	long2'xiong1
漏失	lou4'shi1
卤鸡	lu3'ji1
芒刺在背	mang2'ci4'zai4'bei4
茫然若失	mang2'ran2'ruo4'shi1
铆工	mao3'gong1
貌相	mao4'xiang4
孟冬	meng4'dong1
蜜供	mi4'gong4
棉签	mian2'qian1
免刑	mian3'xing2
面肥	mian4'fei2
描图	miao2'tu2
明镜高悬	ming2'jing4'gao1'xuan2
命令主义	ming4'ling4'zhu3'yi4
抹稀泥	mo3'xi1'ni2
没世	mo4'shi4
木琴	mu4'qin2
募股	mu4'gu3
奶品	nai3'pin3
男厕	nan2'ce4
内眷	nei4'juan4
呢料	ne'liao4
尿频	niao4'pin2
女监	nv3'jian1
旁路	pang2'lu4
泡子	pao1'zi
炮烙	pao2'luo4
配电网	pei4'dian4'wang3
碰碰车	peng4'peng'che1
披红挂绿	pi1'hong2'gua4'lv4
霹雳舞	pi1'li4'wu3
票根	piao4'gen1
平畴	ping2'chou2
平方尺	ping2'fang1'chi3
杞柳	qi3'liu3
气焊	qi4'han4
牵缠	qian1'chan2
前所未闻	qian2'suo3'wei4'wen2
浅表	qian3'biao3
浅露	qian3'lu4
轻于鸿毛	qing1'yu2'hong2'mao2
清洁车	qing1'jie2'che1
清甜	qing1'tian2
穷期	qiong2'qi1
琼剧	qiong2'ju4
秋菜	qiu1'cai4
全休	quan2'xiu1
