参战	can1'zhan4
扶贫济困	fu2'pin2'ji4'kun4
服侍	fu2'shi
规避	gui1'bi4
尖叫	jian1'jiao4
解说	jie3'shuo1
久而久之	jiu3'er2'jiu3'zhi1
卷入	juan3'ru4
满载	man3'zai4
形象工程	xing2'xiang4'gong1'cheng2
云雾	yun2'wu4
进发	jin4'fa1
成因	cheng2'yin1
持平	chi2'ping2
打消	da3'xiao1
点滴	dian3'di1
欢度	huan1'du4
兢兢业业	jing1'jing1'ye4'ye4
空旷	kong1'kuang4
骡子	luo2'zi3
马铃薯	ma3'ling2'shu3
情势	qing2'shi4
水池	shui3'chi2
消磨	xiao1'mo2
直面	zhi2'mian4
白皮书	bai2'pi2'shu1
卑鄙	bei1'bi3
降级	jiang4'ji2
老母	lao3'mu3
没奈何	mo4'nai4'he2
莫不	mo4'bu4
男排	nan2'pai2
涉足	she4'zu2
时不时	shi2'bu4'shi2
水乡	shui3'xiang1
外企	wai4'qi3
懈怠	xie4'dai4
星级	xing1'ji2
远见	yuan3'jian4
包办	bao1'ban4
第三世界	di4'san1'shi4'jie4
废品	fei4'pin3
副业	fu4'ye4
光阴	guang1'yin1
快餐	kuai4'can1
迷恋	mi2'lian4
末了	mo4'liao3
切除	qie1'chu2
收容	shou1'rong2
无以	wu2'yi3
小溪	xiao3'xi1
欢聚一堂	huan1'ju4'yi1'tang2
黄牛	huang2'niu2
年薪	nian2'xin1
器重	qi4'zhong4
山城	shan1'cheng2
深秋	shen1'qiu1
天花板	tian1'hua1'ban3
推移	tui1'yi2
吓人	xia4'ren2
心肠	xin1'chang2
译者	yi4'zhe3
遮掩	zhe1'yan3
阵营	zhen4'ying2
肢体	zhi1'ti3
朝野	chao2'ye3
陈设	chen2'she4
此起彼伏	ci3'qi3'bi3'fu2
反攻	fan3'gong1
复原	fu4'yuan2
旱情	han4'qing2
厚望	hou4'wang4
劲旅	jing4'lv3
料理	liao4'li3
蔑视	mie4'shi4
热身赛	re4'shen1'sai4
人民公社	ren2'min2'gong1'she4
双目	shuang1'mu4
逃离	tao2'li2
特质	te4'zhi4
通行证	tong1'xing2'zheng4
学徒	xue2'tu2
演义	yan3'yi4
邮寄	you2'ji4
账目	zhang4'mu4
蒸汽	zheng1'qi4
主渠道	zhu3'qu2'dao4
租用	zu1'yong4
穿戴	chuan1'dai4
磁性	ci2'xing4
低沉	di1'chen2
翻天覆地	fan1'tian1'fu4'di4
放行	fang4'xing2
家畜	jia1'chu4
邻邦	lin2'bang1
旅店	lv3'dian4
牵连	qian1'lian2
晴朗	qing2'lang3
圈儿	quan1'er2
上进	shang4'jin4
血迹	xue4'ji4
中子	zhong1'zi3
走遍	zou3'bian4
富人	fu4'ren2
港币	gang3'bi4
骨折	gu3'zhe2
回身	hui2'shen1
简介	jian3'jie4
试题	shi4'ti2
稀罕	xi1'han3
相会	xiang1'hui4
有色金属	you3'se4'jin1'shu3
有意识	you3'yi4'shi
钢笔	gang1'bi3
搁置	ge1'zhi4
抗体	kang4'ti3
全景	quan2'jing3
却说	que4'shuo1
输电	shu1'dian4
率部	lv4'bu4
小节	xiao3'jie2
半殖民地	ban4'zhi2'min2'di4
参议员	can1'yi4'yuan2
大气污染	da4'qi4'wu1'ran3
道具	dao4'ju4
方桌	fang1'zhuo1
急躁	ji2'zao4
脊背	ji3'bei4
紧锣密鼓	jin3'luo2'mi4'gu3
镰刀	lian2'dao1
命中	ming4'zhong4
侵袭	qin1'xi2
确凿	que4'zao2
生机勃勃	sheng1'ji1'bo2'bo2
手巾	shou3'jin1
瞎子	xia1'zi3
油料	you2'liao4
案发	an4'fa1
出局	chu1'ju2
公费	gong1'fei4
雇主	gu4'zhu3
果农	guo3'nong2
寄生	ji4'sheng1
截留	jie2'liu2
惬意	qie4'yi4
倾心	qing1'xin1
上扬	shang4'yang2
天边	tian1'bian1
推算	tui1'suan4
西夏	xi1'xia4
一视同仁	yi1'shi4'tong2'ren2
应从	ying4'cong2
用功	yong4'gong1
战备	zhan4'bei4
诊疗	zhen3'liao2
病症	bing4'zheng4
带兵	dai4'bing1
道家	dao4'jia1
过半	guo4'ban4
红星	hong2'xing1
境遇	jing4'yu4
可悲	ke3'bei1
女主人	nv3'zhu3'ren
烟尘	yan1'chen2
枝条	zhi1'tiao2
重工业	zhong4'gong1'ye4
走过场	zou3'guo4'chang3
分家	fen1'jia1
攻打	gong1'da3
管用	guan3'yong4
精巧	jing1'qiao3
快步	kuai4'bu4
路基	lu4'ji1
飘荡	piao1'dang4
寿险	shou4'xian3
冶炼	ye3'lian4
一模一样	yi1'mu2'yi1'yang4
低压	di1'ya1
东洋	dong1'yang2
动弹	dong4'tan
歌星	ge1'xing1
公章	gong1'zhang1
居多	ju1'duo1
篱笆	li2'ba1
崎岖	qi2'qu1
清风	qing1'feng1
歪理	wai1'li3
眼花缭乱	yan3'hua1'liao2'luan4
志向	zhi4'xiang4
表白	biao3'bai2
惆怅	chou2'chang4
错位	cuo4'wei4
后事	hou4'shi4
精灵	jing1'ling2
举例	ju3'li4
垦区	ken3'qu1
全身心	quan2'shen1'xin1
柔情	rou2'qing2
烧毁	shao1'hui3
水灾	shui3'zai1
外加	wai4'jia1
银杏	yin2'xing4
园地	yuan2'di4
远洋	yuan3'yang2
板栗	ban3'li4
耳目	er3'mu4
格调	ge2'diao4
火苗	huo3'miao2
满腔	man3'qiang1
杨柳	yang2'liu3
指纹	zhi3'wen2
传闻	chuan2'wen2
毒性	du2'xing4
归于	gui1'yu2
卡片	ka3'pian4
刊出	kan1'chu1
苦练	ku3'lian4
内疚	nei4'jiu4
前去	qian2'qu4
全额	quan2'e2
上身	shang4'shen1
厮杀	si1'sha1
贪图	tan1'tu2
题写	ti2'xie3
万千	wan4'qian1
小偷	xiao3'tou1
秧歌	yang1'ge1
专电	zhuan1'dian4
背诵	bei4'song4
侧记	ce4'ji4
称谓	cheng1'wei4
骨骼	gu3'ge2
艰险	jian1'xian3
苦战	ku3'zhan4
联合政府	lian2'he2'zheng4'fu3
绵绵	mian2'mian2
免收	mian3'shou1
试用	shi4'yong4
挺拔	ting3'ba2
下载	xia4'zai4
写字台	xie3'zi4'tai2
修饰	xiu1'shi4
野马	ye3'ma3
装配	zhuang1'pei4
不甘	bu4'gan1
佛像	fo2'xiang4
购买力	gou4'mai3'li4
行家	hang2'jia
局域网	ju2'yu4'wang3
抗衡	kang4'heng2
另行	ling4'xing2
那会儿	na4'hui4'er
农贸市场	nong2'mao4'shi4'chang3
