招标	zhao1'biao1
替代	ti4'dai4
供给	gong1'ji3
邻居	lin2'ju1
若是	ruo4'shi4
牢固	lao2'gu4
民俗	min2'su2
本领	ben3'ling3
金钱	jin1'qian2
薄弱	bo2'ruo4
明星	ming2'xing1
引入	yin3'ru4
视察	shi4'cha2
新年	xin1'nian2
早期	zao3'qi1
时常	shi2'chang2
尾巴	wei3'ba
桥梁	qiao2'liang2
丝毫	si1'hao2
源头	yuan2'tou2
转向	zhuan4'xiang4
肺炎	fei4'yan2
聚集	ju4'ji2
进而	jin4'er2
正当	zheng4'dang4
沙发	sha1'fa1
灾难	zai1'nan4
上门	shang4'men2
