缓坡	huan3'po1
希图	xi1'tu2
翕动	xi1'dong4
袭扰	xi2'rao3
籼稻	xian1'dao4
弦乐	xian2'le4
现汇	xian4'hui4
肖像权	xiao4'xiang4'quan2
心惊胆战	xin1'jing1'dan3'zhan4
新妇	xin1'fu4
信号弹	xin4'hao4'dan4
惺忪	xing1'song1
吁吁	xu1'xu1
血防	xue4'fang2
巡行	xun2'xing2
亚裔	ya4'yi4
眼热	yan3're4
邀功	yao1'gong1
药酒	yao4'jiu3
野心勃勃	ye3'xin1'bo2'bo2
抑扬	yi4'yang2
引火	yin3'huo3
引以为荣	yin3'yi3'wei2'rong2
硬挺	ying4'ting3
仗义执言	zhang4'yi4'zhi2'yan2
账册	zhang4'ce4
贞洁	zhen1'jie2
震区	zhen4'qu1
正屋	zheng4'wu1
智能型	zhi4'neng2'xing2
中低档	zhong1'di1'dang4
种牛	zhong3'niu2
竹杠	zhu2'gang4
苎麻	zhu4'ma2
转圈	zhuan4'quan1
追星族	zhui1'xing1'zu2
最惠国待遇	zui4'hui4'guo2'dai4'yu4
作践	zuo4'jian
作孽	zuo4'nie4
作伪	zuo4'wei3
帮派	bang1'pai4
保释	bao3'shi4
报德	bao4'de2
避难所	bi4'nan4'suo3
博物院	bo2'wu4'yuan4
不堪入目	bu4'kan1'ru4'mu4
才识	cai2'shi2
残奥会	can2'ao4'hui4
拆洗	chai1'xi3
常情	chang2'qing2
超员	chao1'yuan2
车场	che1'chang3
乘员	cheng2'yuan2
重蹈覆辙	chong2'dao3'fu4'zhe2
垂挂	chui2'gua4
大锤	da4'chui2
大主教	da4'zhu3'jiao4
淡红	dan4'hong2
到案	dao4'an4
登程	deng1'cheng2
低三下四	di1'san1'xia4'si4
抵偿	di3'chang2
颠扑不破	dian1'pu1'bu4'po4
点阵	dian3'zhen4
钓竿	diao4'gan1
豆汁	dou4'zhi1
独吞	du2'tun1
渡轮	du4'lun2
对号	dui4'hao4
多多益善	duo1'duo1'yi4'shan4
恶语	e4'yu3
方志	fang1'zhi4
粉墨登场	fen3'mo4'deng1'chang3
风向标	feng1'xiang4'biao1
封底	feng1'di3
府邸	fu3'di3
负电	fu4'dian4
高调	gao1'diao4
公共关系	gong1'gong4'guan1'xi4
光鲜	guang1'xian1
规定动作	gui1'ding4'dong4'zuo4
国境线	guo2'jing4'xian4
裹足不前	guo3'zu2'bu4'qian2
后继乏人	hou4'ji4'fa2'ren2
胡桃	hu2'tao2
花花公子	hua1'hua1'gong1'zi3
回程	hui2'cheng2
汲水	ji2'shui3
家史	jia1'shi3
见微知著	jian4'wei1'zhi1'zhu4
荐举	jian4'ju3
焦渴	jiao1'ke3
戒除	jie4'chu2
津液	jin1'ye4
仅只	jin3'zhi3
锦缎	jin3'duan4
精于	jing1'yu2
净值	jing4'zhi2
聚敛	ju4'lian3
苦日子	ku3'ri4'zi
烂摊子	lan4'tan1'zi3
灵车	ling2'che1
令尊	ling4'zun1
流泻	liu2'xie4
芦笙	lu2'sheng1
铝箔	lv3'bo2
面面俱到	mian4'mian4'ju4'dao4
民怨	min2'yuan4
末路	mo4'lu4
孬种	nao1'zhong3
脑干	nao3'gan4
脑炎	nao3'yan2
能说会道	neng2'shuo1'hui4'dao4
牛排	niu2'pai2
派性	pai4'xing4
盼头	pan4'tou2
赔不是	pei2'bu4'shi
坯子	pi1'zi3
评卷	ping2'juan3
破晓	po4'xiao3
起疑	qi3'yi2
悄没声	qiao1'mei2'sheng1
擒拿	qin2'na2
清福	qing1'fu2
去伪存真	qu4'wei3'cun2'zhen1
劝和	quan4'he2
人丁	ren2'ding1
熔融	rong2'rong2
润滑剂	run4'hua2'ji4
散心	san4'xin1
搔头	sao1'tou2
砂锅	sha1'guo1
傻话	sha3'hua4
傻眼	sha3'yan3
上告	shang4'gao4
少管所	shao3'guan3'suo3
湿气	shi1'qi4
实习生	shi2'xi2'sheng1
收条	shou1'tiao2
首播	shou3'bo1
爽口	shuang3'kou3
私交	si1'jiao1
死力	si3'li4
松紧	song1'jin3
耸动	song3'dong4
贪得无厌	tan1'de2'wu2'yan4
甜水	tian2'shui3
挑拣	tiao1'jian3
调频	tiao2'pin2
铁拳	tie3'quan2
投考	tou2'kao3
吞吃	tun1'chi1
佤族	wa3'zu2
危局	wei1'ju2
委身	wei3'shen1
误认	wu4'ren4
息怒	xi1'nu4
息事宁人	xi1'shi4'ning2'ren2
险象环生	xian3'xiang4'huan2'sheng1
训令	xun4'ling4
烟民	yan1'min2
研磨	yan2'mo2
赝品	yan4'pin3
异姓	yi4'xing4
阴风	yin1'feng1
银洋	yin2'yang2
用材	yong4'cai2
游兴	you2'xing4
杂役	za2'yi4
灶间	zao4'jian1
正本	zheng4'ben3
植棉	zhi2'mian2
质料	zhi4'liao4
专稿	zhuan1'gao3
子侄	zi3'zhi2
自相残杀	zi4'xiang1'can2'sha1
总攻	zong3'gong1
嘴硬	zui3'ying4
座舱	zuo4'cang1
白玉兰	bai2'yu4'lan2
包间	bao1'jian1
保皇	bao3'huang2
鼻青脸肿	bi2'qing1'lian3'zhong3
鼻音	bi2'yin1
病区	bing4'qu1
布道	bu4'dao4
步法	bu4'fa3
猜拳	cai1'quan2
草包	cao3'bao1
涔涔	cen2'cen2
长袖	chang2'xiu4
赤色	chi4'se4
船老大	chuan2'lao3'da4
创痛	chuang1'tong4
蠢蠢欲动	chun3'chun3'yu4'dong4
刺槐	ci4'huai2
粗茶淡饭	cu1'cha2'dan4'fan4
