成熟	cheng2'shu2
兴奋	xing1'fen4
申请	shen1'qing3
才能	cai2'neng2
仪式	yi2'shi4
妻子	qi1'zi
结婚	jie2'hun1
看法	kan4'fa3
立场	li4'chang3
角度	jiao3'du4
日前	ri4'qian2
职务	zhi2'wu4
交给	jiao1'gei3
实力	shi2'li4
准确	zhun3'que4
成长	cheng2'zhang3
春节	chun1'jie2
跟着	gen1'zhe
带领	dai4'ling3
软件	ruan3'jian4
家长	jia1'zhang3
临时	lin2'shi2
邀请	yao1'qing3
发言	fa1'yan2
以外	yi3'wai4
巩固	gong3'gu4
立法	li4'fa3
感动	gan3'dong4
树立	shu4'li4
渐渐	jian4'jian4
途径	tu2'jing4
交往	jiao1'wang3
周年	zhou1'nian2
风险	feng1'xian3
牺牲	xi1'sheng1
忽然	hu1'ran2
市民	shi4'min2
疾病	ji2'bing4
本质	ben3'zhi4
发达	fa1'da2
律师	lv4'shi1
白天	bai2'tian1
接近	jie1'jin4
团体	tuan2'ti3
围绕	wei2'rao4
这儿	zhe4'er
人数	ren2'shu4
村民	cun1'min2
媒体	mei2'ti3
中华	zhong1'hua2
层次	ceng2'ci4
门口	men2'kou3
完整	wan2'zheng3
收到	shou1'dao4
大多数	da4'duo1'shu4
少年	shao4'nian2
指标	zhi3'biao1
计算	ji4'suan4
爱情	ai4'qing2
多数	duo1'shu4
治理	zhi4'li3
放弃	fang4'qi4
两岸	liang3'an4
工厂	gong1'chang3
不必	bu4'bi4
通信	tong1'xin4
上去	shang4'qu4
随后	sui2'hou4
公斤	gong1'jin1
尽快	jin3'kuai4
确保	que4'bao3
基金	ji1'jin1
一会儿	yi1'hui4'er
心灵	xin1'ling2
气候	qi4'hou4
少数	shao3'shu4
岗位	gang3'wei4
思维	si1'wei2
初步	chu1'bu4
供应	gong1'ying4
记录	ji4'lu4
到处	dao4'chu4
反而	fan3'er2
诗人	shi1'ren2
做法	zuo4'fa3
注重	zhu4'zhong4
大概	da4'gai4
动力	dong4'li4
交易	jiao1'yi4
恐怕	kong3'pa4
青少年	qing1'shao4'nian2
红色	hong2'se4
参观	can1'guan1
院长	yuan4'chang2
力度	li4'du4
公布	gong1'bu4
外交	wai4'jiao1
维持	wei2'chi2
一时	yi1'shi2
发行	fa1'xing2
施工	shi1'gong1
反复	fan3'fu4
众多	zhong4'duo1
防治	fang2'zhi4
远远	yuan3'yuan3
声明	sheng1'ming2
西藏	xi1'cang2
违法	wei2'fa3
协会	xie2'hui4
购买	gou4'mai3
信任	xin4'ren4
性格	xing4'ge2
冠军	guan4'jun1
平时	ping2'shi2
浙江	zhe4'jiang1
主人	zhu3'ren2
男女	nan2'nv3
深化	shen1'hua4
司法	si1'fa3
部署	bu4'shu3
总体	zong3'ti3
国民	guo2'min2
转化	zhuan3'hua4
立刻	li4'ke4
上下	shang4'xia4
对话	dui4'hua4
环节	huan2'jie2
条例	tiao2'li4
眼光	yan3'guang1
国民党	guo2'min2'dang3
灵魂	ling2'hun2
近日	jin4'ri4
愿望	yuan4'wang4
学会	xue2'hui4
图片	tu2'pian4
健全	jian4'quan2
难道	nan2'dao4
位于	wei4'yu2
其次	qi2'ci4
天地	tian1'di4
慢慢	man4'man4
在内	zai4'nei4
人群	ren2'qun2
大众	da4'zhong4
适当	shi4'dang4
合法	he2'fa3
吸收	xi1'shou1
学科	xue2'ke1
面向	mian4'xiang4
武汉	wu3'han4
既然	ji4'ran2
大门	da4'men2
种种	zhong3'zhong3
仅仅	jin3'jin3
十一	shi2'yi1
女性	nv3'xing4
南方	nan2'fang1
克服	ke4'fu2
内心	nei4'xin1
种植	zhong4'zhi2
生动	sheng1'dong4
毕竟	bi4'jing4
恐怖	kong3'bu4
移动	yi2'dong4
检验	jian3'yan4
具备	ju4'bei4
操作	cao1'zuo4
他人	ta1'ren2
坚定	jian1'ding4
预防	yu4'fang2
流动	liu2'dong4
资本主义	zi1'ben3'zhu3'yi4
身份	shen1'fen
人大	ren2'da4
彼此	bi3'ci3
展示	zhan3'shi4
官兵	guan1'bing1
色彩	se4'cai3
新疆	xin1'jiang1
漂亮	piao4'liang
公园	gong1'yuan2
腐败	fu3'bai4
职能	zhi2'neng2
快乐	kuai4'le4
概念	gai4'nian4
春天	chun1'tian1
教学	jiao4'xue2
研制	yan2'zhi4
机遇	ji1'yu4
种子	zhong3'zi
队长	dui4'chang2
编辑	bian1'ji2
进攻	jin4'gong1
取消	qu3'xiao1
强化	qiang2'hua4
东方	dong1'fang1
公安	gong1'an1
现有	xian4'you3
进来	jin4'lai
发动	fa1'dong4
履行	lv3'xing2
外面	wai4'mian4
事务	shi4'wu4
地面	di4'mian4
判断	pan4'duan4
予以	yu3'yi3
产量	chan3'liang4
下面	xia4'mian4
精神文明	jing1'shen2'wen2'ming2
危机	wei1'ji1
温暖	wen1'nuan3
战胜	zhan4'sheng4
规则	gui1'ze2
若干	ruo4'gan1
队员	dui4'yuan2
大批	da4'pi1
明年	ming2'nian2
改革开放	gai3'ge2'kai1'fang4
登记	deng1'ji4
紧急	jin3'ji2
制作	zhi4'zuo4
机械	ji1'xie4
农产品	nong2'chan3'pin3
和谐	he2'xie2
植物	zhi2'wu4
由此	you2'ci3
治安	zhi4'an1
积极性	ji1'ji2'xing4
打破	da3'po4
栏目	lan2'mu4
谈判	tan2'pan4
利润	li4'run4
仔细	zi3'xi4
韩国	han2'guo2
人民币	ren2'min2'bi4
城镇	cheng2'zhen4
背后	bei4'hou4
选手	xuan3'shou3
湖南	hu2'nan2
劳动力	lao2'dong4'li4
微笑	wei1'xiao4
迎接	ying2'jie1
生长	sheng1'zhang3
真是	zhen1'shi4
之所以	zhi1'suo3'yi3
蔬菜	shu1'cai4
文物	wen2'wu4
社区	she4'qu1
个体	ge4'ti3
房间	fang2'jian1
苏联	su1'lian2
舞蹈	wu3'dao3
资产	zi1'chan3
公正	gong1'zheng4
运动员	yun4'dong4'yuan2
座谈会	zuo4'tan2'hui4
思路	si1'lu4
司机	si1'ji1
事物	shi4'wu4
积累	ji1'lei3
智慧	zhi4'hui4
杂志	za2'zhi4
中华民族	zhong1'hua2'min2'zu2
意志	yi4'zhi4
县委	xian4'wei3
提前	ti2'qian2
艺术家	yi4'shu4'jia1
之下	zhi1'xia4
非法	fei1'fa3
推行	tui1'xing2
对外	dui4'wai4
温度	wen1'du4
前提	qian2'ti2
怀疑	huai2'yi2
指示	zhi3'shi4
消失	xiao1'shi1
课题	ke4'ti2
类似	lei4'si4
见面	jian4'mian4
沉重	chen2'zhong4
发布	fa1'bu4
新型	xin1'xing2
药品	yao4'pin3
教训	jiao4'xun
古代	gu3'dai4
等于	deng3'yu2
等待	deng3'dai4
一行	yi1'xing2
子女	zi3'nv3
上级	shang4'ji2
独特	du2'te4
