丝绸之路	si1'chou2'zhi1'lu4
真空	zhen1'kong1
指向	zhi3'xiang4
主业	zhu3'ye4
并肩	bing4'jian1
出嫁	chu1'jia4
扶助	fu2'zhu4
篮子	lan2'zi3
期满	qi1'man3
运力	yun4'li4
但见	dan4'jian4
观摩	guan1'mo2
讲求	jiang3'qiu2
解析	jie3'xi1
进修	jin4'xiu1
勉励	mian3'li4
叔父	shu1'fu4
挑衅	tiao3'xin4
王府	wang2'fu3
应运而生	ying4'yun4'er2'sheng1
炸药	zha4'yao4
存储	cun2'chu3
高地	gao1'di4
各异	ge4'yi4
唤醒	huan4'xing3
出口额	chu1'kou3'e2
电线	dian4'xian4
红灯	hong2'deng1
降水量	jiang4'shui3'liang4
秘书处	mi4'shu1'chu3
声势	sheng1'shi4
窒息	zhi4'xi1
中层	zhong1'ceng2
车祸	che1'huo4
工艺品	gong1'yi4'pin3
过往	guo4'wang3
劲头	jin4'tou2
拒不	ju4'bu4
朗诵	lang3'song4
漂流	piao1'liu2
舞厅	wu3'ting1
息息相关	xi1'xi1'xiang1'guan1
选取	xuan3'qu3
严防	yan2'fang2
阴暗	yin1'an4
营业额	ying2'ye4'e2
终结	zhong1'jie2
抱歉	bao4'qian4
钉子	ding1'zi
反驳	fan3'bo2
拱手	gong3'shou3
老化	lao3'hua4
免征	mian3'zheng1
启程	qi3'cheng2
甚至于	shen4'zhi4'yu2
师父	shi1'fu
无名	wu2'ming2
凶手	xiong1'shou3
转机	zhuan3'ji1
赤道	chi4'dao4
宾主	bin1'zhu3
大吃一惊	da4'chi1'yi1'jing1
聚精会神	ju4'jing1'hui4'shen2
时政	shi2'zheng4
娃子	wa2'zi3
义不容辞	yi4'bu4'rong2'ci2
音像制品	yin1'xiang4'zhi4'pin3
斩首	zhan3'shou3
注明	zhu4'ming2
总监	zong3'jian1
钻石	zuan4'shi2
兵器	bing1'qi4
乖乖	guai1'guai1
解救	jie3'jiu4
募集	mu4'ji2
齐声	qi2'sheng1
深信	shen1'xin4
手榴弹	shou3'liu2'dan4
质朴	zhi4'pu3
厚度	hou4'du4
调和	tiao2'he2
心意	xin1'yi4
逐一	zhu2'yi1
就诊	jiu4'zhen3
落叶	luo4'ye4
驱使	qu1'shi3
塔吉克斯坦	ta3'ji2'ke4'si1'tan3
停电	ting2'dian4
无端	wu2'duan1
池塘	chi2'tang2
督察	du1'cha2
辅导员	fu3'dao3'yuan2
呼啸	hu1'xiao4
清静	qing1'jing4
爽快	shuang3'kuai4
中年人	zhong1'nian2'ren2
沉静	chen2'jing4
简短	jian3'duan3
免除	mian3'chu2
珊瑚	shan1'hu2
生计	sheng1'ji4
售票	shou4'piao4
合金	he2'jin1
兑换	dui4'huan4
固守	gu4'shou3
黑影	hei1'ying3
弯腰	wan1'yao1
已然	yi3'ran2
半截	ban4'jie2
耕耘	geng1'yun2
男子汉	nan2'zi3'han4
排水	pai2'shui3
无边	wu2'bian1
因果	yin1'guo3
专场	zhuan1'chang3
观望	guan1'wang4
私自	si1'zi4
参政	can1'zheng4
分子	fen1'zi3
和睦	he2'mu4
举足轻重	ju3'zu2'qing1'zhong4
觉察	jue2'cha2
呕吐	ou3'tu4
升温	sheng1'wen1
引水	yin3'shui3
自如	zi4'ru2
自我批评	zi4'wo3'pi1'ping2
废弃	fei4'qi4
分队	fen1'dui4
顾不上	gu4'bu4'shang4
狡猾	jiao3'hua2
亮丽	liang4'li4
名目	ming2'mu4
容器	rong2'qi4
完好	wan2'hao3
刑罚	xing2'fa2
珍藏	zhen1'cang2
公道	gong1'dao4
公诉	gong1'su4
过重	guo4'zhong4
名次	ming2'ci4
球场	qiu2'chang3
上衣	shang4'yi1
习惯于	xi2'guan4'yu2
域名	yu4'ming2
正直	zheng4'zhi2
案情	an4'qing2
动感	dong4'gan3
捐资	juan1'zi1
指针	zhi3'zhen1
暗杀	an4'sha1
不善	bu4'shan4
军校	jun1'xiao4
山羊	shan1'yang2
玩耍	wan2'shua3
汹涌	xiong1'yong3
归根到底	gui1'gen1'dao4'di3
海事	hai3'shi4
好感	hao3'gan3
换取	huan4'qu3
就近	jiu4'jin4
流感	liu2'gan3
民法	min2'fa3
女郎	nv3'lang2
情调	qing2'diao4
推理	tui1'li3
等同	deng3'tong2
高额	gao1'e2
绘制	hui4'zhi4
脑筋	nao3'jin1
思想性	si1'xiang3'xing4
突变	tu1'bian4
王子	wang2'zi3
为数	wei2'shu4
宣判	xuan1'pan4
延误	yan2'wu4
有形	you3'xing2
复活	fu4'huo2
副教授	fu4'jiao4'shou4
军分区	jun1'fen1'qu1
搜查	sou1'cha2
泄露	xie4'lou4
演戏	yan3'xi4
衣物	yi1'wu4
勇士	yong3'shi4
白菜	bai2'cai4
摒弃	bing4'qi4
对得起	dui4'de'qi3
昏迷	hun1'mi2
卡通	ka3'tong1
叛徒	pan4'tu2
庆幸	qing4'xing4
致死	zhi4'si3
对岸	dui4'an4
分期	fen1'qi1
广义	guang3'yi4
归国	gui1'guo2
勘查	kan1'cha2
相辅相成	xiang1'fu3'xiang1'cheng2
渲染	xuan4'ran3
版面	ban3'mian4
除此之外	chu2'ci3'zhi1'wai4
读书人	du2'shu1'ren2
雇员	gu4'yuan2
庆贺	qing4'he4
击中	ji1'zhong1
精辟	jing1'pi4
良知	liang2'zhi1
评委	ping2'wei3
乳房	ru3'fang2
胜任	sheng4'ren4
限定	xian4'ding4
作证	zuo4'zheng4
分泌	fen1'mi4
闭幕式	bi4'mu4'shi4
喝彩	he4'cai3
开张	kai1'zhang1
试管	shi4'guan3
艺术性	yi4'shu4'xing4
