静谧	jing4'mi4
白眼	bai2'yan3
变法	bian4'fa3
藏匿	cang2'ni4
成像	cheng2'xiang4
抽取	chou1'qu3
耷拉	da1'la
典故	dian3'gu4
掉以轻心	diao4'yi3'qing1'xin1
发红	fa1'hong2
滑冰	hua2'bing1
欢腾	huan1'teng2
开路	kai1'lu4
茅草	mao2'cao3
权责	quan2'ze2
散射	san3'she4
手铐	shou3'kao4
衰弱	shuai1'ruo4
熙熙攘攘	xi1'xi1'rang3'rang3
引种	yin3'zhong4
原籍	yuan2'ji2
转眼间	zhuan3'yan3'jian1
自负	zi4'fu4
白日	bai2'ri4
常设	chang2'she4
传人	chuan2'ren2
地平线	di4'ping2'xian4
繁杂	fan2'za2
鼓噪	gu3'zao4
化纤	hua4'xian1
会费	hui4'fei4
就地	jiu4'di4
科学界	ke1'xue2'jie4
联袂	lian2'mei4
淋漓	lin2'li2
美术馆	mei3'shu4'guan3
男儿	nan2'er2
扭动	niu3'dong4
热浪	re4'lang4
盛名	sheng4'ming2
盛赞	sheng4'zan4
随心所欲	sui2'xin1'suo3'yu4
梯子	ti1'zi3
投稿	tou2'gao3
微不足道	wei1'bu4'zu2'dao4
小菜	xiao3'cai4
义气	yi4'qi4
藻类	zao3'lei4
诏书	zhao4'shu1
正版	zheng4'ban3
段落	duan4'luo4
放屁	fang4'pi4
坟地	fen2'di4
概论	gai4'lun4
个体经济	ge4'ti3'jing1'ji4
公立	gong1'li4
厚实	hou4'shi2
混双	hun4'shuang1
津津有味	jin1'jin1'you3'wei4
空手	kong1'shou3
老外	lao3'wai4
离别	li2'bie2
粮仓	liang2'cang1
刹车	sha1'che1
殊不知	shu1'bu4'zhi1
水龙头	shui3'long2'tou2
下地	xia4'di4
心满意足	xin1'man3'yi4'zu2
荧光	ying2'guang1
珍宝	zhen1'bao3
自给	zi4'ji3
蝉联	chan2'lian2
大西北	da4'xi1'bei3
烦闷	fan2'men4
沟壑	gou1'he4
孤岛	gu1'dao3
广交会	guang3'jiao1'hui4
好过	hao3'guo4
坏蛋	huai4'dan4
金刚	jin1'gang1
精深	jing1'shen1
料想	liao4'xiang3
眉目	mei2'mu
木料	mu4'liao4
暖流	nuan3'liu2
破绽	po4'zhan4
史无前例	shi3'wu2'qian2'li4
颂扬	song4'yang2
酸雨	suan1'yu3
跆拳道	tai2'quan2'dao4
调侃	tiao2'kan3
铜子儿	tong2'zi3'er
武侠	wu3'xia2
吸入	xi1'ru4
永生	yong3'sheng1
有朝一日	you3'zhao1'yi1'ri4
月薪	yue4'xin1
越加	yue4'jia1
再者	zai4'zhe3
专卖	zhuan1'mai4
暗地里	an4'di4'li
暴风雨	bao4'feng1'yu3
备耕	bei4'geng1
哺育	bu3'yu4
成全	cheng2'quan2
揣摩	chuai3'mo2
堤坝	di1'ba4
干活儿	gan1'huo2'er2
工作服	gong1'zuo4'fu2
古书	gu3'shu1
国有股	guo2'you3'gu3
海豚	hai3'tun2
回话	hui2'hua4
猎人	lie4'ren2
情欲	qing2'yu4
弱小	ruo4'xiao3
世道	shi4'dao4
险胜	xian3'sheng4
游园	you2'yuan2
稚嫩	zhi4'nen4
重奖	zhong4'jiang3
北纬	bei3'wei3
布告	bu4'gao4
惩戒	cheng2'jie4
触角	chu4'jiao3
高中生	gao1'zhong1'sheng1
捷报	jie2'bao4
精锐	jing1'rui4
军车	jun1'che1
刻骨铭心	ke4'gu3'ming2'xin1
客源	ke4'yuan2
柔弱	rou2'ruo4
扫黄打非	sao3'huang2'da3'fei1
痛楚	tong4'chu3
退却	tui4'que4
文雅	wen2'ya3
务农	wu4'nong2
咸菜	xian2'cai4
香火	xiang1'huo3
议席	yi4'xi2
幼苗	you4'miao2
缘由	yuan2'you2
照看	zhao4'kan4
执导	zhi2'dao3
斥责	chi4'ze2
传教	chuan2'jiao4
党代表	dang3'dai4'biao3
愤恨	fen4'hen4
光华	guang1'hua2
核销	he2'xiao1
空心	kong1'xin1
强手	qiang2'shou3
说情	shuo1'qing2
私事	si1'shi4
文工团	wen2'gong1'tuan2
性感	xing4'gan3
严查	yan2'cha2
要道	yao4'dao4
一成不变	yi1'cheng2'bu4'bian4
懊恼	ao4'nao3
霸王	ba4'wang2
板子	ban3'zi3
菜单	cai4'dan1
长于	chang2'yu2
吃食	chi1'shi2
传感器	chuan2'gan3'qi4
凑近	cou4'jin4
党团	dang3'tuan2
顶风	ding3'feng1
凡人	fan2'ren2
浮雕	fu2'diao1
俯视	fu3'shi4
归案	gui1'an4
去向	qu4'xiang4
缺席	que1'xi2
施压	shi1'ya1
诉苦	su4'ku3
头巾	tou2'jin1
文笔	wen2'bi3
无害	wu2'hai4
蓄积	xu4'ji1
暧昧	ai4'mei4
报应	bao4'ying4
定制	ding4'zhi4
发白	fa1'bai2
割裂	ge1'lie4
勾引	gou1'yin3
过敏	guo4'min3
合算	he2'suan4
红晕	hong2'yun4
免受	mian3'shou4
拼音	pin1'yin1
平均值	ping2'jun1'zhi2
前言	qian2'yan2
探视	tan4'shi4
偷看	tou1'kan4
窝棚	wo1'peng2
一无所知	yi1'wu2'suo3'zhi1
营区	ying2'qu1
预想	yu4'xiang3
执拗	zhi2'niu4
总装	zong3'zhuang1
闭会	bi4'hui4
变卖	bian4'mai4
出乎意料	chu1'hu1'yi4'liao4
烽火	feng1'huo3
感官	gan3'guan1
哈达	ha3'da2
化学反应	hua4'xue2'fan3'ying4
怀旧	huai2'jiu4
佳话	jia1'hua4
枯萎	ku1'wei3
利弊	li4'bi4
闹剧	nao4'ju4
平添	ping2'tian1
琐事	suo3'shi4
新陈代谢	xin1'chen2'dai4'xie4
行踪	xing2'zong1
虚名	xu1'ming2
液态	ye4'tai4
衣袖	yi1'xiu4
樱花	ying1'hua1
中水	zhong1'shui3
滋长	zi1'zhang3
比作	bi3'zuo4
并入	bing4'ru4
拨乱反正	bo1'luan4'fan3'zheng4
储备粮	chu3'bei4'liang2
顶峰	ding3'feng1
定罪	ding4'zui4
多日	duo1'ri4
封存	feng1'cun2
黑名单	hei1'ming2'dan1
黄豆	huang2'dou4
机关枪	ji1'guan1'qiang1
老练	lao3'lian4
名流	ming2'liu2
喷发	pen1'fa1
取舍	qu3'she3
