胡说	hu2'shuo1
学士	xue2'shi4
照着	zhao4'zhe
邦交	bang1'jiao1
不敌	bu4'di2
长短	chang2'duan3
短波	duan3'bo1
缴获	jiao3'huo4
脉搏	mai4'bo2
盘子	pan2'zi3
上交	shang4'jiao1
投机	tou2'ji1
毅力	yi4'li4
病虫害	bing4'chong2'hai4
对准	dui4'zhun3
分级	fen1'ji2
公德	gong1'de2
解剖	jie3'pou1
炮兵	pao4'bing1
篇幅	pian1'fu2
诗句	shi1'ju4
忘掉	wang4'diao4
行政区	xing2'zheng4'qu1
板凳	ban3'deng4
过节	guo4'jie2
好容易	hao3'rong2'yi4
巨资	ju4'zi1
首饰	shou3'shi4
掩护	yan3'hu4
长子	zhang3'zi3
只怕	zhi1'pa4
别扭	bie4'niu
杠杆	gang4'gan3
高价	gao1'jia4
侵入	qin1'ru4
坦诚	tan3'cheng2
要不然	yao4'bu'ran2
何尝	he2'chang2
雷雨	lei2'yu3
平坦	ping2'tan3
伊斯兰教	yi1'si1'lan2'jiao4
有线电视	you3'xian4'dian4'shi4
肚皮	du4'pi2
愤慨	fen4'kai3
可信	ke3'xin4
冷却	leng3'que4
报到	bao4'dao4
歌词	ge1'ci2
张望	zhang1'wang4
按摩	an4'mo2
颤动	chan4'dong4
根基	gen1'ji1
耕作	geng1'zuo4
管家	guan3'jia1
画像	hua4'xiang4
入库	ru4'ku4
庄重	zhuang1'zhong4
气流	qi4'liu2
画展	hua4'zhan3
开头	kai1'tou2
私利	si1'li4
鞋子	xie2'zi3
压倒	ya1'dao3
涌动	yong3'dong4
地势	di4'shi4
高空	gao1'kong1
驾车	jia4'che1
姐夫	jie3'fu
求职	qiu2'zhi2
俗话说	su2'hua4'shuo1
印度洋	yin4'du4'yang2
不可思议	bu4'ke3'si1'yi4
不作声	bu4'zuo4'sheng1
河滩	he2'tan1
奖惩	jiang3'cheng2
精髓	jing1'sui3
开关	kai1'guan1
喜事	xi3'shi4
新式	xin1'shi4
乘机	cheng2'ji1
重温	zhong4'wen1
大西洋	da4'xi1'yang2
地层	di4'ceng2
间断	jian4'duan4
解体	jie3'ti3
突如其来	tu1'ru2'qi2'lai2
着呢	zhe'ne
主动权	zhu3'dong4'quan2
专款	zhuan1'kuan3
承载	cheng2'zai4
造假	zao4'jia3
后院	hou4'yuan4
动画	dong4'hua4
怪不得	guai4'bu'de
普遍性	pu3'bian4'xing4
墙角	qiang2'jiao3
受命	shou4'ming4
威风	wei1'feng1
义军	yi4'jun1
不屑	bu4'xie4
工商联	gong1'shang1'lian2
姑母	gu1'mu3
年头儿	nian2'tou2'er
扭头	niu3'tou2
陪伴	pei2'ban4
前辈	qian2'bei4
伊始	yi1'shi3
值钱	zhi2'qian2
大喜	da4'xi3
电动	dian4'dong4
工农	gong1'nong2
护照	hu4'zhao4
饮用	yin3'yong4
油菜	you2'cai4
纵深	zong4'shen1
被窝儿	bei4'wo1'er
定向	ding4'xiang4
