昔日	xi1'ri4
适宜	shi4'yi2
构筑	gou4'zhu4
前沿	qian2'yan2
火箭	huo3'jian4
做事	zuo4'shi4
散发	san4'fa1
篮球	lan2'qiu2
时时	shi2'shi2
连队	lian2'dui4
高低	gao1'di1
长久	chang2'jiu3
漫长	man4'chang2
讨厌	tao3'yan4
化石	hua4'shi2
经济学	jing1'ji4'xue2
榜样	bang3'yang4
向着	xiang4'zhe
书店	shu1'dian4
善良	shan4'liang2
申办	shen1'ban4
转达	zhuan3'da2
长征	chang2'zheng1
光彩	guang1'cai3
爱好	ai4'hao4
账户	zhang4'hu4
下发	xia4'fa1
嘴巴	zui3'ba1
学说	xue2'shuo1
考古	kao3'gu3
罗马	luo2'ma3
常见	chang2'jian4
弟兄	di4'xiong
上访	shang4'fang3
从业	cong2'ye4
多样化	duo1'yang4'hua4
拼命	pin1'ming4
山水	shan1'shui3
话语	hua4'yu3
元素	yuan2'su4
投降	tou2'xiang2
上游	shang4'you2
爱人	ai4'ren2
召集	zhao4'ji2
惊人	jing1'ren2
占地	zhan4'di4
木材	mu4'cai2
中医	zhong1'yi1
便于	bian4'yu2
妇人	fu4'ren2
主场	zhu3'chang3
无偿	wu2'chang2
一旁	yi1'pang2
深切	shen1'qie4
对照	dui4'zhao4
实在	shi2'zai
乒乓球	ping1'pang1'qiu2
研究员	yan2'jiu1'yuan2
花卉	hua1'hui4
移植	yi2'zhi2
竣工	jun4'gong1
风貌	feng1'mao4
同年	tong2'nian2
途中	tu2'zhong1
风雨	feng1'yu3
维和	wei2'he2
乌鲁木齐	wu1'lu3'mu4'qi2
丰富多彩	feng1'fu4'duo1'cai3
油田	you2'tian2
历时	li4'shi2
小学生	xiao3'xue2'sheng1
葡萄	pu2'tao2
即便	ji2'bian4
先是	xian1'shi4
纪检	ji4'jian3
拼搏	pin1'bo2
谁知	shei2'zhi1
倾听	qing1'ting1
轻易	qing1'yi4
养成	yang3'cheng2
多项	duo1'xiang4
糊涂	hu2'tu
标准化	biao1'zhun3'hua4
偶尔	ou3'er3
哪怕	na3'pa4
形容	xing2'rong2
业主	ye4'zhu3
石家庄	shi2'jia1'zhuang1
叹息	tan4'xi1
悲哀	bei1'ai1
报酬	bao4'chou
过后	guo4'hou4
走廊	zou3'lang2
议题	yi4'ti2
开心	kai1'xin1
网吧	wang3'ba1
官方	guan1'fang1
新生	xin1'sheng1
跟前	gen1'qian2
温柔	wen1'rou2
两手	liang3'shou3
容量	rong2'liang4
利息	li4'xi1
首席	shou3'xi2
南昌	nan2'chang1
炸弹	zha4'dan4
淮河	huai2'he2
规章	gui1'zhang1
不妨	bu4'fang2
浪漫	lang4'man4
包袱	bao1'fu
明明	ming2'ming2
连连	lian2'lian2
特意	te4'yi4
偏偏	pian1'pian1
设法	she4'fa3
劳模	lao2'mo2
播出	bo1'chu1
不明	bu4'ming2
