大爷	da4'ye
言传身教	yan2'chuan2'shen1'jiao4
炎黄	yan2'huang2
药理	yao4'li3
引线	yin3'xian4
应接不暇	ying4'jie1'bu4'xia2
邮资	you2'zi1
运筹	yun4'chou2
暂住证	zan4'zhu4'zheng4
沼泽地	zhao3'ze2'di4
政通人和	zheng4'tong1'ren2'he2
置之度外	zhi4'zhi1'du4'wai4
中表	zhong1'biao3
株连	zhu1'lian2
惴惴不安	zhui4'zhui4'bu4'an1
自荐	zi4'jian4
鞭打	bian1'da3
变速	bian4'su4
病程	bing4'cheng2
病体	bing4'ti3
茶亭	cha2'ting2
查究	cha2'jiu1
长裤	chang2'ku4
冲垮	chong1'kua3
传唤	chuan2'huan4
氮气	dan4'qi4
党龄	dang3'ling2
短裙	duan3'qun2
哆哆嗦嗦	duo1'duo1'suo1'suo1
风洞	feng1'dong4
风和日丽	feng1'he2'ri4'li4
枫叶	feng1'ye4
肝硬化	gan1'ying4'hua4
敢干	gan3'gan1
敢为人先	gan3'wei2'ren2'xian1
关系网	guan1'xi4'wang3
好胜	hao4'sheng4
红烛	hong2'zhu2
花销	hua1'xiao1
华而不实	hua2'er2'bu4'shi2
缓期	huan3'qi1
皇粮	huang2'liang2
皇权	huang2'quan2
黄金时间	huang2'jin1'shi2'jian1
火箭弹	huo3'jian4'dan4
获知	huo4'zhi1
兼营	jian1'ying2
减幅	jian3'fu2
胶皮	jiao1'pi2
节流	jie2'liu2
精妙	jing1'miao4
抗联	kang4'lian2
空间技术	kong1'jian1'ji4'shu4
苦海	ku3'hai3
立柱	li4'zhu4
联产	lian2'chan3
买方市场	mai3'fang1'shi4'chang3
猛力	meng3'li4
木桥	mu4'qiao2
爬坡	pa2'po1
荞麦	qiao2'mai4
亲善	qin1'shan4
曲棍球	qu1'gun4'qiu2
全票	quan2'piao4
任人唯贤	ren4'ren2'wei2'xian2
如饥似渴	ru2'ji1'si4'ke3
润滑	run4'hua2
塞责	se4'ze2
傻乎乎	sha3'hu1'hu1
守寡	shou3'gua3
水坑	shui3'keng1
索然	suo3'ran2
跳蚤	tiao4'zao3
桐油	tong2'you2
头破血流	tou2'po4'xue4'liu2
纹丝不动	wen2'si1'bu4'dong4
乌烟瘴气	wu1'yan1'zhang4'qi4
喜形于色	xi3'xing2'yu2'se4
戏言	xi4'yan2
细问	xi4'wen4
乡党	xiang1'dang3
岩壁	yan2'bi4
吟咏	yin2'yong3
银发	yin2'fa4
永世	yong3'shi4
优胜	you1'sheng4
有奖	you3'jiang3
在读	zai4'du2
占卜	zhan1'bu3
展期	zhan3'qi1
真知	zhen1'zhi1
纸上谈兵	zhi3'shang4'tan2'bing1
咫尺	zhi3'chi3
主创人员	zhu3'chuang4'ren2'yuan2
注射器	zhu4'she4'qi4
坐骑	zuo4'qi2
斑白	ban1'bai2
